"ibge","bairro","altitude","logradouro","longitude","cep","latitude","estado","cidade","ddd"
2504009,"Monte Santo",572.7,"Rua Probo Câmara",-35.8990572,"58400723",-7.2114021,"PB","Campina Grande",83
2507507,"Cristo Redentor",50.8,"Rua Antônia Gomes da Silveira, de 1263/1264 ao fim",-34.8789697,"58071200",-7.1630006,"PB","João Pessoa",83
2504009,"Bodocongó",512.1,"Rua Isolda Barros Torquato, de 390/391 ao fim",-35.9179312,"58430090",-7.2184353,"PB","Campina Grande",83
2504009,"Liberdade",526.7,"Avenida Jornalista Assis Chateaubriand",-35.8947759,"58414060",-7.2374259,"PB","Campina Grande",83
2509107,"",149.2,"Mari",-35.3201392,"58345000",-7.0523005,"PB","Mari",83
2504009,"Liberdade",517.9,"Rua Gilberto Pereira",-35.8928853,"58414120",-7.2349147,"PB","Campina Grande",83
2507507,"Castelo Branco",35.9,"Avenida Apolônio Nóbrega",-34.8454026,"58050260",-7.1311183,"PB","João Pessoa",83
2509404,"",112.2,"Mogeiro",-35.4783084,"58375000",-7.3021587,"PB","Mogeiro",NA
2502003,"",184.8,"Belém do Brejo do Cruz",-37.5365588,"58895000",-6.187828,"PB","Belém do Brejo do Cruz",83
2504009,"Alto Branco",548.3,"Avenida Manoel Tavares, de 601/602 a 1446/1447",-35.87646,"58401490",-7.2109499,"PB","Campina Grande",83
2504009,"Lauritzen",549.6,"Avenida Manoel Tavares, até 599 - lado ímpar",-35.8811519,"58401402",-7.2116154,"PB","Campina Grande",83
2505352,"",590,"Damião",-35.9072644,"58173000",-6.6313143,"PB","Damião",83
2507507,"Torre",40.3,"Avenida Sinésio Guimarães, até 1057/1058",-34.8596574,"58040400",-7.1260002,"PB","João Pessoa",83
2514651,"",156,"São José do Brejo do Cruz",-37.3537353,"58893000",-6.2132789,"PB","São José do Brejo do Cruz",NA
2611606,"Cordeiro",10.6,"Rua Amália",-34.9246586,"50630210",-8.0528853,"PE","Recife",81
2501807,"Sesi",13.1,"Rua João XXIII",-34.9159038,"58306010",-7.1255692,"PB","Bayeux",83
2502508,"",370.8,"Boqueirão",-36.135257,"58450000",-7.4819416,"PB","Boqueirão",83
2502052,"",706.1,"Bernardino Batista",-38.5507076,"58922000",-6.4519443,"PB","Bernardino Batista",NA
2516201,"Centro",227.4,"Rua Coronel André Avelino",-38.2322218,"58800530",-6.7599661,"PB","Sousa",83
2500809,"",52.5,"Araçagi",-35.380508,"58270000",-6.8527094,"PB","Araçagi",NA
2504009,"Lauritzen",545.2,"Rua Monteiro Lobato",-35.8804233,"58401417",-7.2103601,"PB","Campina Grande",83
2508208,"",152.7,"Lagoa de Dentro",-35.3763667,"58250000",-6.6734101,"PB","Lagoa de Dentro",NA
2607901,"Prazeres",11.2,"Rodovia BR-101, Sul - do km 82,003 ao km 86,005 - lado ímpar",-34.9423933,"54335000",-8.1733608,"PE","Jaboatão dos Guararapes",81
2507507,"Cristo Redentor",49,"Rua Presidente Carlos Luz",-34.8720956,"58071490",-7.1600425,"PB","João Pessoa",83
