"Ano","UF","Município","Escola","Rede","Etapa escolar","Ideb","Aprendizado","Fluxo","Alerta","Atenção","Melhorar","Manter","Link do município no QEdu"
"2015","PB","BANANEIRAS","-","Pública","Anos Iniciais","4.7","5.2","0.91","-","-","-","-","http://www.qedu.org.br/cidade/3743-bananeiras/ideb"
"2015","PB","BARAUNA","-","Pública","Anos Iniciais","5.5","5.77","0.96","-","-","-","-","http://www.qedu.org.br/cidade/3744-barauna/ideb"
"2015","PB","BARRA DE SANTA ROSA","-","Pública","Anos Iniciais","4.7","5.49","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4015-barra-de-santa-rosa/ideb"
"2015","PB","BARRA DE SANTANA","-","Pública","Anos Iniciais","5","5.39","0.92","-","-","-","-","http://www.qedu.org.br/cidade/4014-barra-de-santana/ideb"
"2015","PB","BARRA DE SAO MIGUEL","-","Pública","Anos Iniciais","4.8","4.94","0.98","-","-","-","-","http://www.qedu.org.br/cidade/4016-barra-de-sao-miguel/ideb"
"2015","PB","BAYEUX","-","Pública","Anos Iniciais","4.2","4.99","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4017-bayeux/ideb"
"2015","PB","BELEM","-","Pública","Anos Iniciais","4.5","4.78","0.95","-","-","-","-","http://www.qedu.org.br/cidade/4018-belem/ideb"
"2015","PB","BELEM DO BREJO DO CRUZ","-","Pública","Anos Iniciais","4.3","4.84","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4019-belem-do-brejo-do-cruz/ideb"
"2015","PB","BERNARDINO BATISTA","-","Pública","Anos Iniciais","4.4","5.09","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4020-bernardino-batista/ideb"
"2015","PB","BOA VENTURA","-","Pública","Anos Iniciais","3.7","3.93","0.95","-","-","-","-","http://www.qedu.org.br/cidade/4021-boa-ventura/ideb"
"2015","PB","BOA VISTA","-","Pública","Anos Iniciais","6.6","6.83","0.96","-","-","-","-","http://www.qedu.org.br/cidade/4022-boa-vista/ideb"
"2015","PB","BOM JESUS","-","Pública","Anos Iniciais","4.5","4.99","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4023-bom-jesus/ideb"
"2015","PB","BOM SUCESSO","-","Pública","Anos Iniciais","4.7","5.14","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4024-bom-sucesso/ideb"
"2015","PB","BONITO DE SANTA FE","-","Pública","Anos Iniciais","4.4","5.01","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4025-bonito-de-santa-fe/ideb"
"2015","PB","BOQUEIRAO","-","Pública","Anos Iniciais","4.7","5.28","0.88","-","-","-","-","http://www.qedu.org.br/cidade/4026-boqueirao/ideb"
"2015","PB","BORBOREMA","-","Pública","Anos Iniciais","4.2","4.57","0.92","-","-","-","-","http://www.qedu.org.br/cidade/4028-borborema/ideb"
"2015","PB","BREJO DO CRUZ","-","Pública","Anos Iniciais","4.8","5.21","0.92","-","-","-","-","http://www.qedu.org.br/cidade/4029-brejo-do-cruz/ideb"
"2015","PB","BREJO DOS SANTOS","-","Pública","Anos Iniciais","4","4.82","0.83","-","-","-","-","http://www.qedu.org.br/cidade/4030-brejo-dos-santos/ideb"
"2015","PB","CAAPORA","-","Pública","Anos Iniciais","3.7","4.3","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4031-caapora/ideb"
"2015","PB","CABACEIRAS","-","Pública","Anos Iniciais","6","6.17","0.98","-","-","-","-","http://www.qedu.org.br/cidade/4032-cabaceiras/ideb"
"2015","PB","CABEDELO","-","Pública","Anos Iniciais","4.3","4.93","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4033-cabedelo/ideb"
"2015","PB","CACHOEIRA DOS INDIOS","-","Pública","Anos Iniciais","3.9","4.96","0.79","-","-","-","-","http://www.qedu.org.br/cidade/4034-cachoeira-dos-indios/ideb"
"2015","PB","CACIMBA DE AREIA","-","Pública","Anos Iniciais","3.9","4.6","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4035-cacimba-de-areia/ideb"
"2015","PB","CACIMBA DE DENTRO","-","Pública","Anos Iniciais","4.3","5.07","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4036-cacimba-de-dentro/ideb"
"2015","PB","CACIMBAS","-","Pública","Anos Iniciais","4.1","4.75","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4037-cacimbas/ideb"
"2015","PB","CAICARA","-","Pública","Anos Iniciais","4.5","4.91","0.92","-","-","-","-","http://www.qedu.org.br/cidade/4038-caicara/ideb"
"2015","PB","CAJAZEIRAS","-","Pública","Anos Iniciais","4.4","5.27","0.83","0.2353","0.2941","0.4118","0.0588","http://www.qedu.org.br/cidade/4039-cajazeiras/ideb"
"2015","PB","CAJAZEIRINHAS","-","Pública","Anos Iniciais","5.2","5.89","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4040-cajazeirinhas/ideb"
"2015","PB","CALDAS BRANDAO","-","Pública","Anos Iniciais","4.7","4.87","0.96","-","-","-","-","http://www.qedu.org.br/cidade/4041-caldas-brandao/ideb"
"2015","PB","CAMALAU","-","Pública","Anos Iniciais","5","5.42","0.92","-","-","-","-","http://www.qedu.org.br/cidade/4042-camalau/ideb"
"2015","PB","CAMPINA GRANDE","-","Pública","Anos Iniciais","4.7","5.34","0.87","0.2069","0.3218","0.4253","0.046","http://www.qedu.org.br/cidade/4043-campina-grande/ideb"
"2015","PB","CAPIM","-","Pública","Anos Iniciais","3.5","4.29","0.81","-","-","-","-","http://www.qedu.org.br/cidade/4543-capim/ideb"
"2015","PB","CARAUBAS","-","Pública","Anos Iniciais","4.7","5.47","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4544-caraubas/ideb"
"2015","PB","CARRAPATEIRA","-","Pública","Anos Iniciais","5.7","6.03","0.94","-","-","-","-","http://www.qedu.org.br/cidade/4545-carrapateira/ideb"
"2015","PB","CASSERENGUE","-","Pública","Anos Iniciais","4.8","5.39","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4546-casserengue/ideb"
"2015","PB","CATINGUEIRA","-","Pública","Anos Iniciais","4","4.84","0.83","-","-","-","-","http://www.qedu.org.br/cidade/4547-catingueira/ideb"
"2015","PB","CATOLE DO ROCHA","-","Pública","Anos Iniciais","4.5","5.29","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4548-catole-do-rocha/ideb"
"2015","PB","CATURITE","-","Pública","Anos Iniciais","4.1","4.61","0.88","-","-","-","-","http://www.qedu.org.br/cidade/4549-caturite/ideb"
"2015","PB","CONCEICAO","-","Pública","Anos Iniciais","3.8","4.28","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4550-conceicao/ideb"
"2015","PB","CONDADO","-","Pública","Anos Iniciais","4.6","5.31","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4551-condado/ideb"
"2015","PB","CONDE","-","Pública","Anos Iniciais","4","4.65","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4552-conde/ideb"
"2015","PB","CONGO","-","Pública","Anos Iniciais","4.4","5.19","0.84","-","-","-","-","http://www.qedu.org.br/cidade/4553-congo/ideb"
"2015","PB","COREMAS","-","Pública","Anos Iniciais","4.1","4.57","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4554-coremas/ideb"
"2015","PB","CRUZ DO ESPIRITO SANTO","-","Pública","Anos Iniciais","3.9","4.52","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4556-cruz-do-espirito-santo/ideb"
"2015","PB","CUBATI","-","Pública","Anos Iniciais","4.4","4.74","0.93","-","-","-","-","http://www.qedu.org.br/cidade/4557-cubati/ideb"
"2015","PB","CUITE","-","Pública","Anos Iniciais","5.4","5.55","0.97","-","-","-","-","http://www.qedu.org.br/cidade/4558-cuite/ideb"
"2015","PB","CUITE DE MAMANGUAPE","-","Pública","Anos Iniciais","4.2","4.97","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4560-cuite-de-mamanguape/ideb"
"2015","PB","CUITEGI","-","Pública","Anos Iniciais","4.1","4.45","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4559-cuitegi/ideb"
"2015","PB","CURRAL DE CIMA","-","Pública","Anos Iniciais","3.6","4.72","0.77","-","-","-","-","http://www.qedu.org.br/cidade/4561-curral-de-cima/ideb"
"2015","PB","CURRAL VELHO","-","Pública","Anos Iniciais","4.4","4.63","0.96","-","-","-","-","http://www.qedu.org.br/cidade/4562-curral-velho/ideb"
"2015","PB","DAMIAO","-","Pública","Anos Iniciais","4.1","4.61","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4563-damiao/ideb"
"2015","PB","DESTERRO","-","Pública","Anos Iniciais","3.9","4.46","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4564-desterro/ideb"
"2015","PB","DIAMANTE","-","Pública","Anos Iniciais","0","0","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4566-diamante/ideb"
"2015","PB","DONA INES","-","Pública","Anos Iniciais","5.3","5.3","1","-","-","-","-","http://www.qedu.org.br/cidade/4567-dona-ines/ideb"
"2015","PB","DUAS ESTRADAS","-","Pública","Anos Iniciais","4","4.5","0.88","-","-","-","-","http://www.qedu.org.br/cidade/4568-duas-estradas/ideb"
"2015","PB","EMAS","-","Pública","Anos Iniciais","4.3","4.77","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4569-emas/ideb"
"2015","PB","ESPERANCA","-","Pública","Anos Iniciais","5.5","5.62","0.98","-","-","-","-","http://www.qedu.org.br/cidade/4570-esperanca/ideb"
"2015","PB","FAGUNDES","-","Pública","Anos Iniciais","4.7","5.11","0.92","-","-","-","-","http://www.qedu.org.br/cidade/4571-fagundes/ideb"
"2015","PB","FREI MARTINHO","-","Pública","Anos Iniciais","4.5","4.63","0.98","-","-","-","-","http://www.qedu.org.br/cidade/4572-frei-martinho/ideb"
"2015","PB","GADO BRAVO","-","Pública","Anos Iniciais","3.8","4.43","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4573-gado-bravo/ideb"
"2015","PB","GUARABIRA","-","Pública","Anos Iniciais","4.5","5.02","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4574-guarabira/ideb"
"2015","PB","GURINHEM","-","Pública","Anos Iniciais","3.7","4.23","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4575-gurinhem/ideb"
"2015","PB","GURJAO","-","Pública","Anos Iniciais","4.9","5.04","0.98","-","-","-","-","http://www.qedu.org.br/cidade/4576-gurjao/ideb"
"2015","PB","IBIARA","-","Pública","Anos Iniciais","4.4","4.68","0.94","-","-","-","-","http://www.qedu.org.br/cidade/4577-ibiara/ideb"
"2015","PB","IGARACY","-","Pública","Anos Iniciais","4.6","5","0.93","-","-","-","-","http://www.qedu.org.br/cidade/4027-igaracy/ideb"
"2015","PB","IMACULADA","-","Pública","Anos Iniciais","4.5","5.09","0.88","-","-","-","-","http://www.qedu.org.br/cidade/4578-imaculada/ideb"
"2015","PB","INGA","-","Pública","Anos Iniciais","3.8","4.39","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4579-inga/ideb"
"2015","PB","ITABAIANA","-","Pública","Anos Iniciais","4.3","4.91","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4580-itabaiana/ideb"
"2015","PB","ITAPORANGA","-","Pública","Anos Iniciais","4.3","4.75","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4581-itaporanga/ideb"
"2015","PB","ITAPOROROCA","-","Pública","Anos Iniciais","4","4.54","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4582-itapororoca/ideb"
"2015","PB","ITATUBA","-","Pública","Anos Iniciais","3.9","4.25","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4583-itatuba/ideb"
"2015","PB","JACARAU","-","Pública","Anos Iniciais","4","4.93","0.81","-","-","-","-","http://www.qedu.org.br/cidade/4584-jacarau/ideb"
"2015","PB","JERICO","-","Pública","Anos Iniciais","4.6","5.59","0.83","-","-","-","-","http://www.qedu.org.br/cidade/4585-jerico/ideb"
"2015","PB","JOAO PESSOA","-","Pública","Anos Iniciais","4.6","5.28","0.87","0.3","0.2818","0.4","0.0182","http://www.qedu.org.br/cidade/4586-joao-pessoa/ideb"
"2015","PB","JOCA CLAUDINO","-","Pública","Anos Iniciais","4.8","4.99","0.96","-","-","-","-","http://www.qedu.org.br/cidade/4367-joca-claudino/ideb"
"2015","PB","JUAREZ TAVORA","-","Pública","Anos Iniciais","4.6","4.95","0.94","-","-","-","-","http://www.qedu.org.br/cidade/4587-juarez-tavora/ideb"
"2015","PB","JUAZEIRINHO","-","Pública","Anos Iniciais","4.1","4.73","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4588-juazeirinho/ideb"
"2015","PB","JUNCO DO SERIDO","-","Pública","Anos Iniciais","4.1","4.49","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4589-junco-do-serido/ideb"
"2015","PB","JURIPIRANGA","-","Pública","Anos Iniciais","4.1","4.98","0.81","-","-","-","-","http://www.qedu.org.br/cidade/4590-juripiranga/ideb"
"2015","PB","JURU","-","Pública","Anos Iniciais","4.8","5.47","0.88","-","-","-","-","http://www.qedu.org.br/cidade/4591-juru/ideb"
"2015","PB","LAGOA","-","Pública","Anos Iniciais","4.2","4.9","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4592-lagoa/ideb"
"2015","PB","LAGOA DE DENTRO","-","Pública","Anos Iniciais","4.2","4.66","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4593-lagoa-de-dentro/ideb"
"2015","PB","LAGOA SECA","-","Pública","Anos Iniciais","4.9","5.25","0.93","-","-","-","-","http://www.qedu.org.br/cidade/4594-lagoa-seca/ideb"
"2015","PB","LASTRO","-","Pública","Anos Iniciais","4.6","5.47","0.84","-","-","-","-","http://www.qedu.org.br/cidade/4595-lastro/ideb"
"2015","PB","LIVRAMENTO","-","Pública","Anos Iniciais","5","5.45","0.92","-","-","-","-","http://www.qedu.org.br/cidade/5317-livramento/ideb"
"2015","PB","LOGRADOURO","-","Pública","Anos Iniciais","5.5","6.09","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4596-logradouro/ideb"
"2015","PB","LUCENA","-","Pública","Anos Iniciais","4","4.75","0.84","-","-","-","-","http://www.qedu.org.br/cidade/4597-lucena/ideb"
"2015","PB","MAE DAGUA","-","Pública","Anos Iniciais","5.3","5.77","0.92","-","-","-","-","http://www.qedu.org.br/cidade/4598-mae-dagua/ideb"
"2015","PB","MALTA","-","Pública","Anos Iniciais","4.6","4.89","0.95","-","-","-","-","http://www.qedu.org.br/cidade/4599-malta/ideb"
"2015","PB","MAMANGUAPE","-","Pública","Anos Iniciais","3.8","4.43","0.87","-","-","-","-","http://www.qedu.org.br/cidade/5318-mamanguape/ideb"
"2015","PB","MANAIRA","-","Pública","Anos Iniciais","0","0","0.93","-","-","-","-","http://www.qedu.org.br/cidade/4600-manaira/ideb"
"2015","PB","MARCACAO","-","Pública","Anos Iniciais","3.2","4.4","0.74","-","-","-","-","http://www.qedu.org.br/cidade/4601-marcacao/ideb"
"2015","PB","MARI","-","Pública","Anos Iniciais","3.8","4.61","0.83","-","-","-","-","http://www.qedu.org.br/cidade/4602-mari/ideb"
"2015","PB","MARIZOPOLIS","-","Pública","Anos Iniciais","4.3","4.94","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4603-marizopolis/ideb"
"2015","PB","MASSARANDUBA","-","Pública","Anos Iniciais","4.4","5.12","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4604-massaranduba/ideb"
"2015","PB","MATARACA","-","Pública","Anos Iniciais","0","0","0.85","-","-","-","-","http://www.qedu.org.br/cidade/5319-mataraca/ideb"
"2015","PB","MATINHAS","-","Pública","Anos Iniciais","3.8","4.48","0.84","-","-","-","-","http://www.qedu.org.br/cidade/4605-matinhas/ideb"
"2015","PB","MATO GROSSO","-","Pública","Anos Iniciais","0","0","0","-","-","-","-","http://www.qedu.org.br/cidade/4606-mato-grosso/ideb"
"2015","PB","MATUREIA","-","Pública","Anos Iniciais","4.4","5.22","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4607-matureia/ideb"
"2015","PB","MOGEIRO","-","Pública","Anos Iniciais","3.8","4.36","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4608-mogeiro/ideb"
"2015","PB","MONTADAS","-","Pública","Anos Iniciais","5.1","5.74","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4442-montadas/ideb"
"2015","PB","MONTE HOREBE","-","Pública","Anos Iniciais","4.6","5.11","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4609-monte-horebe/ideb"
"2015","PB","MONTEIRO","-","Pública","Anos Iniciais","5.1","5.34","0.96","-","-","-","-","http://www.qedu.org.br/cidade/4610-monteiro/ideb"
"2015","PB","MULUNGU","-","Pública","Anos Iniciais","4.3","4.82","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4611-mulungu/ideb"
"2015","PB","NATUBA","-","Pública","Anos Iniciais","4.7","5.07","0.93","-","-","-","-","http://www.qedu.org.br/cidade/4612-natuba/ideb"
"2015","PB","NAZAREZINHO","-","Pública","Anos Iniciais","4.5","5.01","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4613-nazarezinho/ideb"
"2015","PB","NOVA FLORESTA","-","Pública","Anos Iniciais","4.4","5.02","0.88","-","-","-","-","http://www.qedu.org.br/cidade/4443-nova-floresta/ideb"
"2015","PB","NOVA OLINDA","-","Pública","Anos Iniciais","4.8","5.28","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4614-nova-olinda/ideb"
"2015","PB","NOVA PALMEIRA","-","Pública","Anos Iniciais","4.6","5.71","0.81","-","-","-","-","http://www.qedu.org.br/cidade/4615-nova-palmeira/ideb"
"2015","PB","OLHO DAGUA","-","Pública","Anos Iniciais","5.2","5.72","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4616-olho-dagua/ideb"
"2015","PB","OLIVEDOS","-","Pública","Anos Iniciais","5","5.57","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4617-olivedos/ideb"
"2015","PB","OURO VELHO","-","Pública","Anos Iniciais","5.1","5.29","0.97","-","-","-","-","http://www.qedu.org.br/cidade/4618-ouro-velho/ideb"
"2015","PB","PARARI","-","Pública","Anos Iniciais","4.8","4.94","0.97","-","-","-","-","http://www.qedu.org.br/cidade/4444-parari/ideb"
"2015","PB","PASSAGEM","-","Pública","Anos Iniciais","4.1","4.61","0.88","-","-","-","-","http://www.qedu.org.br/cidade/4619-passagem/ideb"
"2015","PB","PATOS","-","Pública","Anos Iniciais","4.8","5.19","0.93","0.1304","0.1304","0.6957","0.0435","http://www.qedu.org.br/cidade/4620-patos/ideb"
"2015","PB","PAULISTA","-","Pública","Anos Iniciais","5.3","5.53","0.96","-","-","-","-","http://www.qedu.org.br/cidade/4621-paulista/ideb"
"2015","PB","PEDRA BRANCA","-","Pública","Anos Iniciais","4.9","5.05","0.96","-","-","-","-","http://www.qedu.org.br/cidade/3585-pedra-branca/ideb"
"2015","PB","PEDRA LAVRADA","-","Pública","Anos Iniciais","5.6","5.97","0.94","-","-","-","-","http://www.qedu.org.br/cidade/3586-pedra-lavrada/ideb"
"2015","PB","PEDRAS DE FOGO","-","Pública","Anos Iniciais","4.3","5","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4622-pedras-de-fogo/ideb"
"2015","PB","PEDRO REGIS","-","Pública","Anos Iniciais","3.7","4.76","0.78","-","-","-","-","http://www.qedu.org.br/cidade/4637-pedro-regis/ideb"
"2015","PB","PIANCO","-","Pública","Anos Iniciais","4.2","4.88","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4445-pianco/ideb"
"2015","PB","PICUI","-","Pública","Anos Iniciais","5.6","5.89","0.96","-","-","-","-","http://www.qedu.org.br/cidade/4623-picui/ideb"
"2015","PB","PILAR","-","Pública","Anos Iniciais","3.7","4.39","0.84","-","-","-","-","http://www.qedu.org.br/cidade/4624-pilar/ideb"
"2015","PB","PILOES","-","Pública","Anos Iniciais","4.1","4.61","0.88","-","-","-","-","http://www.qedu.org.br/cidade/4625-piloes/ideb"
"2015","PB","PILOEZINHOS","-","Pública","Anos Iniciais","3.9","4.32","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4626-piloezinhos/ideb"
"2015","PB","PIRPIRITUBA","-","Pública","Anos Iniciais","0","0","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4446-pirpirituba/ideb"
"2015","PB","PITIMBU","-","Pública","Anos Iniciais","3.9","4.33","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4627-pitimbu/ideb"
"2015","PB","POCINHOS","-","Pública","Anos Iniciais","4.2","4.94","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4628-pocinhos/ideb"
"2015","PB","POCO DANTAS","-","Pública","Anos Iniciais","3.7","4.51","0.82","-","-","-","-","http://www.qedu.org.br/cidade/4629-poco-dantas/ideb"
"2015","PB","POCO DE JOSE DE MOURA","-","Pública","Anos Iniciais","4.1","4.95","0.84","-","-","-","-","http://www.qedu.org.br/cidade/4630-poco-de-jose-de-moura/ideb"
"2015","PB","POMBAL","-","Pública","Anos Iniciais","5.7","5.86","0.98","0.1111","0.2222","0.2222","0.4444","http://www.qedu.org.br/cidade/4631-pombal/ideb"
"2015","PB","PRATA","-","Pública","Anos Iniciais","5.4","5.88","0.93","-","-","-","-","http://www.qedu.org.br/cidade/4447-prata/ideb"
"2015","PB","PRINCESA ISABEL","-","Pública","Anos Iniciais","0","0","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4632-princesa-isabel/ideb"
"2015","PB","PUXINANA","-","Pública","Anos Iniciais","5.1","5.63","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4633-puxinana/ideb"
"2015","PB","QUEIMADAS","-","Pública","Anos Iniciais","4.8","5.27","0.91","-","-","-","-","http://www.qedu.org.br/cidade/4634-queimadas/ideb"
"2015","PB","QUIXABA","-","Pública","Anos Iniciais","0","0","0.97","-","-","-","-","http://www.qedu.org.br/cidade/4635-quixaba/ideb"
"2015","PB","REMIGIO","-","Pública","Anos Iniciais","4.5","4.98","0.9","-","-","-","-","http://www.qedu.org.br/cidade/4636-remigio/ideb"
"2015","PB","RIACHAO","-","Pública","Anos Iniciais","4.5","4.77","0.94","-","-","-","-","http://www.qedu.org.br/cidade/4638-riachao/ideb"
"2015","PB","RIACHAO DO BACAMARTE","-","Pública","Anos Iniciais","4.3","4.48","0.96","-","-","-","-","http://www.qedu.org.br/cidade/4639-riachao-do-bacamarte/ideb"
"2015","PB","RIACHAO DO POCO","-","Pública","Anos Iniciais","4.6","5.31","0.87","-","-","-","-","http://www.qedu.org.br/cidade/4640-riachao-do-poco/ideb"
"2015","PB","RIACHO DE SANTO ANTONIO","-","Pública","Anos Iniciais","4.4","4.97","0.89","-","-","-","-","http://www.qedu.org.br/cidade/4641-riacho-de-santo-antonio/ideb"
"2015","PB","RIACHO DOS CAVALOS","-","Pública","Anos Iniciais","4.7","6.06","0.78","-","-","-","-","http://www.qedu.org.br/cidade/4642-riacho-dos-cavalos/ideb"
"2015","PB","RIO TINTO","-","Pública","Anos Iniciais","4.1","4.94","0.83","-","-","-","-","http://www.qedu.org.br/cidade/4643-rio-tinto/ideb"
"2015","PB","SALGADINHO","-","Pública","Anos Iniciais","4.1","4.94","0.83","-","-","-","-","http://www.qedu.org.br/cidade/4644-salgadinho/ideb"
"2015","PB","SALGADO DE SAO FELIX","-","Pública","Anos Iniciais","3.3","3.93","0.85","-","-","-","-","http://www.qedu.org.br/cidade/4645-salgado-de-sao-felix/ideb"
"2015","PB","SANTA CECILIA","-","Pública","Anos Iniciais","4.4","5.15","0.86","-","-","-","-","http://www.qedu.org.br/cidade/4646-santa-cecilia/ideb"
"2015","PB","SANTA CRUZ","-","Pública","Anos Iniciais","5.5","5.87","0.93","-","-","-","-","http://www.qedu.org.br/cidade/4647-santa-cruz/ideb"
"2015","PB","SANTA HELENA","-","Pública","Anos Iniciais","5.4","5.72","0.94","-","-","-","-","http://www.qedu.org.br/cidade/4648-santa-helena/ideb"
"2015","PB","SANTA INES","-","Pública","Anos Iniciais","4.9","5.03","0.97","-","-","-","-","http://www.qedu.org.br/cidade/4905-santa-ines/ideb"
"2015","PB","SANTA LUZIA","-","Pública","Anos Iniciais","5.3","5.57","0.95","-","-","-","-","http://www.qedu.org.br/cidade/4906-santa-luzia/ideb"
"2015","PB","SANTA RITA","-","Pública","Anos Iniciais","3.7","4.5","0.82","-","-","-","-","http://www.qedu.org.br/cidade/4368-santa-rita/ideb"
