Lugar;Espacialidade;"COD IBGE";"IDHM (2010)";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)"
"Natuba (PB)";Município;250990;0,541;0,516;0,710;0,432
"Nazarezinho (PB)";Município;251000;0,562;0,528;0,747;0,449
"Nova Floresta (PB)";Município;251010;0,601;0,576;0,758;0,498
"Nova Olinda (PB)";Município;251020;0,573;0,557;0,744;0,453
"Nova Palmeira (PB)";Município;251030;0,595;0,567;0,762;0,488
"Olho d'Água (PB)";Município;251040;0,572;0,533;0,776;0,452
"Olivedos (PB)";Município;251050;0,603;0,531;0,766;0,540
"Ouro Velho (PB)";Município;251060;0,614;0,585;0,764;0,518
"Parari (PB)";Município;251065;0,584;0,583;0,733;0,467
"Passagem (PB)";Município;251070;0,620;0,566;0,790;0,534
"Patos (PB)";Município;251080;0,701;0,667;0,821;0,628
"Paulista (PB)";Município;251090;0,587;0,587;0,747;0,461
"Pedra Branca (PB)";Município;251100;0,599;0,532;0,761;0,532
"Pedra Lavrada (PB)";Município;251110;0,574;0,564;0,733;0,458
"Pedras de Fogo (PB)";Município;251120;0,590;0,568;0,771;0,468
"Pedro Régis (PB)";Município;251272;0,542;0,529;0,754;0,399
"Piancó (PB)";Município;251130;0,621;0,593;0,736;0,550
"Picuí (PB)";Município;251140;0,608;0,596;0,745;0,506
"Pilar (PB)";Município;251150;0,579;0,544;0,775;0,461
"Pilões (PB)";Município;251160;0,560;0,559;0,767;0,409
"Pilõezinhos (PB)";Município;251170;0,564;0,532;0,802;0,421
"Pirpirituba (PB)";Município;251180;0,595;0,566;0,745;0,499
"Pitimbu (PB)";Município;251190;0,570;0,538;0,753;0,456
"Pocinhos (PB)";Município;251200;0,591;0,556;0,779;0,477
"Poço Dantas (PB)";Município;251203;0,525;0,506;0,702;0,408
"Poço de José de Moura (PB)";Município;251207;0,612;0,578;0,797;0,497
"Pombal (PB)";Município;251210;0,634;0,629;0,787;0,515
"Prata (PB)";Município;251220;0,608;0,566;0,772;0,514
"Princesa Isabel (PB)";Município;251230;0,606;0,600;0,720;0,514
"Puxinanã (PB)";Município;251240;0,617;0,574;0,754;0,542
"Queimadas (PB)";Município;251250;0,608;0,578;0,796;0,489
"Quixabá (PB)";Município;251260;0,622;0,564;0,737;0,579
"Remígio (PB)";Município;251270;0,607;0,592;0,797;0,474
"Riachão (PB)";Município;251274;0,574;0,515;0,763;0,481
"Riachão do Bacamarte (PB)";Município;251275;0,553;0,561;0,721;0,417
"Riachão do Poço (PB)";Município;251276;0,555;0,537;0,748;0,426
"Riacho de Santo Antônio (PB)";Município;251278;0,594;0,569;0,735;0,502
"Riacho dos Cavalos (PB)";Município;251280;0,568;0,546;0,752;0,447
"Rio Tinto (PB)";Município;251290;0,585;0,562;0,742;0,480
"Salgadinho (PB)";Município;251300;0,563;0,531;0,739;0,454
"Salgado de São Félix (PB)";Município;251310;0,568;0,531;0,770;0,448
"Santa Cecília (PB)";Município;251315;0,525;0,515;0,699;0,402
"Santa Cruz (PB)";Município;251320;0,618;0,578;0,779;0,523
"Santa Helena (PB)";Município;251330;0,609;0,570;0,786;0,504
"Santa Inês (PB)";Município;251335;0,572;0,540;0,706;0,492
"Santa Luzia (PB)";Município;251340;0,682;0,620;0,804;0,635
"Santana de Mangueira (PB)";Município;251350;0,535;0,488;0,756;0,414
"Santana dos Garrotes (PB)";Município;251360;0,594;0,568;0,772;0,479
"Joca Claudino (PB)";Município;251365;0,622;0,553;0,765;0,568
"Santa Rita (PB)";Município;251370;0,627;0,597;0,774;0,534
"Santa Teresinha (PB)";Município;251380;0,627;0,586;0,820;0,513
"Santo André (PB)";Município;251385;0,600;0,568;0,797;0,476
"São Bentinho (PB)";Município;251392;0,606;0,575;0,787;0,491
"São Bento (PB)";Município;251390;0,580;0,597;0,769;0,424
"São Domingos (PB)";Município;251396;0,548;0,555;0,754;0,394
"São Domingos do Cariri (PB)";Município;251394;0,589;0,603;0,773;0,438
"São Francisco (PB)";Município;251398;0,580;0,560;0,726;0,481
"São João do Cariri (PB)";Município;251400;0,622;0,618;0,797;0,488
"São João do Rio do Peixe (PB)";Município;250070;0,608;0,586;0,782;0,490
"São João do Tigre (PB)";Município;251410;0,552;0,523;0,758;0,424
"São José da Lagoa Tapada (PB)";Município;251420;0,530;0,530;0,722;0,389
"São José de Caiana (PB)";Município;251430;0,565;0,545;0,762;0,434
"São José de Espinharas (PB)";Município;251440;0,577;0,543;0,790;0,448
"São José de Piranhas (PB)";Município;251450;0,591;0,594;0,755;0,461
"São José de Princesa (PB)";Município;251455;0,565;0,533;0,765;0,443
"São José do Bonfim (PB)";Município;251460;0,578;0,549;0,713;0,493
"São José do Brejo do Cruz (PB)";Município;251465;0,581;0,535;0,776;0,473
"São José do Sabugi (PB)";Município;251470;0,617;0,584;0,781;0,514
"São José dos Cordeiros (PB)";Município;251480;0,556;0,542;0,778;0,407
"São José dos Ramos (PB)";Município;251445;0,541;0,527;0,738;0,406
"São Mamede (PB)";Município;251490;0,641;0,617;0,765;0,558
"São Miguel de Taipu (PB)";Município;251500;0,548;0,516;0,721;0,443
"São Sebastião de Lagoa de Roça (PB)";Município;251510;0,594;0,561;0,795;0,471
"São Sebastião do Umbuzeiro (PB)";Município;251520;0,581;0,561;0,763;0,459
"Sapé (PB)";Município;251530;0,569;0,563;0,711;0,461
"São Vicente do Seridó (PB)";Município;251540;0,555;0,528;0,714;0,453
"Serra Branca (PB)";Município;251550;0,628;0,598;0,770;0,537
"Serra da Raiz (PB)";Município;251560;0,626;0,570;0,792;0,544
"Serra Grande (PB)";Município;251570;0,586;0,549;0,745;0,491
"Serra Redonda (PB)";Município;251580;0,570;0,565;0,772;0,424
"Serraria (PB)";Município;251590;0,547;0,536;0,779;0,392
"Sertãozinho (PB)";Município;251593;0,621;0,554;0,769;0,561
"Sobrado (PB)";Município;251597;0,573;0,525;0,753;0,477
"Solânea (PB)";Município;251600;0,595;0,592;0,762;0,468
"Soledade (PB)";Município;251610;0,616;0,598;0,772;0,506
"Sossêgo (PB)";Município;251615;0,573;0,531;0,769;0,460
"Sousa (PB)";Município;251620;0,668;0,645;0,814;0,567
"Sumé (PB)";Município;251630;0,627;0,602;0,765;0,534
"Tacima (PB)";Município;251640;0,551;0,513;0,726;0,450
"Taperoá (PB)";Município;251650;0,578;0,564;0,749;0,456
"Tavares (PB)";Município;251660;0,586;0,560;0,777;0,462
"Teixeira (PB)";Município;251670;0,605;0,566;0,741;0,527
"Tenório (PB)";Município;251675;0,581;0,565;0,707;0,490
"Triunfo (PB)";Município;251680;0,609;0,578;0,780;0,501
"Uiraúna (PB)";Município;251690;0,636;0,612;0,797;0,528
"Umbuzeiro (PB)";Município;251700;0,584;0,545;0,712;0,514
"Várzea (PB)";Município;251710;0,707;0,619;0,800;0,714
"Vieirópolis (PB)";Município;251720;0,571;0,537;0,762;0,455
"Vista Serrana (PB)";Município;250550;0,566;0,554;0,773;0,424
"Zabelê (PB)";Município;251740;0,623;0,567;0,725;0,587

