cidade,ano,docfund,docmedio,docpre,escfund,escmedio,escpre,matrifund,matrimedio,matripre
Juru,2015,63,0,11,8,0,8,1122,0,259
Lagoa,2015,36,0,8,8,0,6,481,0,88
Lagoa de Dentro,2015,78,0,23,14,0,12,1078,0,219
Lagoa Seca,2015,156,0,46,29,0,28,2813,0,575
Lastro,2015,37,0,5,8,0,8,510,0,87
Livramento,2015,77,0,25,20,0,20,1187,0,242
Logradouro,2015,36,0,7,3,0,3,509,0,114
Lucena,2015,93,0,18,10,0,10,1895,0,328
Mãe d`Água,2015,37,0,6,8,0,6,563,0,108
Malta,2015,35,0,9,5,0,6,638,0,131
Mamanguape,2015,175,0,33,37,0,33,4153,0,844
Manaíra,2015,72,0,11,27,0,27,1289,0,314
Marcação,2015,66,0,22,10,0,9,1022,0,295
Mari,2015,104,0,21,21,0,21,1768,0,382
Marizópolis,2015,53,0,8,4,0,5,821,0,153
Massaranduba,2015,104,0,14,27,0,25,1679,0,414
Mataraca,2015,62,0,17,4,0,3,1198,0,293
Matinhas,2015,46,0,9,13,0,12,548,0,163
Mato Grosso,2015,23,0,2,8,0,7,287,0,53
Maturéia,2015,52,0,15,5,0,4,1178,0,253
Mogeiro,2015,96,0,19,22,0,22,1641,0,365
Montadas,2015,56,0,9,7,0,5,919,0,168
Monte Horebe,2015,43,0,9,5,0,5,714,0,132
Monteiro,2015,132,0,25,15,0,13,2903,0,521
Mulungu,2015,64,0,14,17,0,17,829,0,233
Natuba,2015,82,0,21,20,0,20,1055,0,280
Nazarezinho,2015,44,0,8,12,0,11,757,0,185
Nova Floresta,2015,33,0,12,6,0,5,771,0,228
Nova Olinda,2015,47,0,10,6,0,5,583,0,201
Nova Palmeira,2015,31,0,8,6,0,6,451,0,111
Olho d`Água,2015,71,0,4,20,0,16,876,0,159
Olivedos,2015,44,19,4,14,1,11,590,186,95
Ouro Velho,2015,25,0,10,4,0,4,285,0,121
Parari,2015,15,0,4,6,0,6,155,0,43
Passagem,2015,32,0,6,4,0,3,357,0,77
Patos,2015,352,0,87,40,0,37,6529,0,1025
Paulista,2015,69,0,12,15,0,15,1426,0,248
Pedra Branca,2015,40,0,7,5,0,5,497,0,104
Pedra Lavrada,2015,56,0,14,6,0,7,1057,0,197
Pedras de Fogo,2015,170,0,43,28,0,24,3588,0,751
Piancó,2015,121,0,34,17,0,17,1294,0,284
Picuí,2015,123,0,23,12,0,8,2678,0,491
Pilar,2015,77,0,18,11,0,12,909,0,227
Pilões,2015,58,0,16,17,0,16,1027,0,296
Pilõezinhos,2015,38,0,3,10,0,8,666,0,118
Pirpirituba,2015,53,0,8,10,0,9,671,0,160
Pitimbu,2015,118,0,24,18,0,17,2208,0,430
Pocinhos,2015,135,0,27,23,0,23,2923,0,528
Poço Dantas,2015,60,0,7,11,0,11,825,0,152
Poço de José de Moura,2015,47,0,4,7,0,6,596,0,73
Pombal,2015,156,0,25,28,0,24,2656,0,538
Prata,2015,27,0,7,1,0,1,489,0,114
Princesa Isabel,2015,91,0,24,18,0,20,1405,0,459
Puxinanã,2015,75,0,10,20,0,16,1344,0,293
Queimadas,2015,257,0,48,57,0,54,4726,0,990
Quixaba,2015,25,0,2,7,0,7,294,0,51
Remígio,2015,109,0,25,19,0,19,2091,0,427
Pedro Régis,2015,46,0,8,8,0,8,723,0,150
Riachão,2015,38,0,8,6,0,9,535,0,126
Riachão do Bacamarte,2015,46,0,5,8,0,6,557,0,94
Riachão do Poço,2015,42,0,5,7,0,7,818,0,129
Riacho de Santo Antônio,2015,23,0,7,4,0,3,373,0,80
Riacho dos Cavalos,2015,54,0,5,19,0,17,847,0,197
Rio Tinto,2015,132,0,45,23,0,25,2387,0,528
Salgadinho,2015,38,0,6,6,0,5,540,0,92
Salgado de São Félix,2015,85,0,28,17,0,17,118,0,240
Santa Cecília,2015,69,0,5,19,0,19,1255,0,180
Santa Cruz,2015,29,0,11,4,0,4,457,0,177
Santa Helena,2015,43,0,11,8,0,9,582,0,162
Santa Inês,2015,38,0,16,15,0,14,455,0,76
Santa Luzia,2015,53,0,15,8,0,7,894,0,269
Santana de Mangueira,2015,75,0,21,22,0,17,803,0,111
Santana dos Garrotes,2015,51,7,18,6,1,7,683,12,163
Joca Claudino,2015,29,0,5,6,0,6,380,0,80
Santa Rita,2015,464,0,75,46,0,47,9964,0,1343
Santa Teresinha,2015,42,0,2,11,0,11,540,0,102
Santo André,2015,23,0,4,1,0,1,371,0,78
São Bento,2015,144,0,27,19,0,18,3476,0,556
São Bentinho,2015,33,0,7,5,0,3,477,0,126
São Domingos do Cariri,2015,31,10,4,5,1,5,326,47,80
São Domingos,2015,25,0,3,5,0,6,443,0,74
São Francisco,2015,27,0,4,2,0,3,484,0,67
São João do Cariri,2015,38,0,5,8,0,6,436,0,89
São João do Tigre,2015,54,0,6,7,0,6,775,0,122
São José da Lagoa Tapada,2015,53,0,6,10,0,9,932,0,168
São José de Caiana,2015,46,0,19,16,0,15,721,0,250
São José de Espinharas,2015,41,0,7,6,0,6,452,0,87
São José dos Ramos,2015,52,0,7,7,0,6,741,0,161
São José de Piranhas,2015,109,0,14,31,0,31,1609,0,342
São José de Princesa,2015,22,0,7,5,0,5,284,0,93
São José do Bonfim,2015,36,0,3,9,0,8,562,0,85
São José do Brejo do Cruz,2015,20,0,4,4,0,4,304,0,74
São José do Sabugi,2015,33,0,8,5,0,4,450,0,100
São José dos Cordeiros,2015,20,0,4,13,0,13,229,0,84
São Mamede,2015,62,0,10,12,0,10,1044,0,207
São Miguel de Taipu,2015,61,0,10,12,0,12,838,0,232
São Sebastião de Lagoa de  Roça,2015,76,0,18,18,0,17,1275,0,340
São Sebastião do Umbuzeiro,2015,27,0,4,1,0,1,470,0,83
Sapé,2015,200,0,46,38,0,35,3985,0,828
São Vicente do Seridó,2015,77,0,17,18,0,14,1137,0,352
Serra Branca,2015,75,0,16,9,0,10,1134,0,225
Serra da Raiz,2015,23,0,4,7,0,6,272,0,87
Serra Grande,2015,26,0,10,8,0,7,492,0,110
Serra Redonda,2015,57,0,6,15,0,13,780,0,110
Serraria,2015,39,0,9,12,0,12,484,0,124
Sertãozinho,2015,41,0,5,9,0,7,619,0,119
Sobrado,2015,60,0,10,14,0,13,1188,0,183
Solânea,2015,136,0,32,20,0,19,2564,0,501
Soledade,2015,96,0,11,16,0,15,1429,0,287
