Município,2005,2007,2009,2011,2013,2015,P-2007,P-2009,P-2011,P-2013,P-2015,P-2017,P-2019,P-2021
Baraúna,1.7,2.7,3.0,2.9,4.5,4.4,1.8,2.0,2.4,2.9,3.3,3.6,3.8,4.1
Barra de Santa Rosa,2.5,2.3,2.8,2.8,3.5,3.7,2.5,2.7,3.0,3.4,3.8,4.0,4.3,4.6
Barra de Santana,2.3,3.2,3.2,2.8,2.8,4.3,2.3,2.5,2.7,3.1,3.5,3.7,4.0,4.3
Barra de São Miguel,2.8,3.4,2.8,3.9,4.9,4.7,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
Bayeux,2.2,3.1,2.8,3.4,3.2,3.6,2.3,2.5,2.8,3.3,3.7,4.0,4.3,4.5
Belém,3.3,2.8,2.8,2.9,3.1,3.7,3.4,3.5,3.8,4.2,4.6,4.8,5.1,5.3
Belém do Brejo do Cruz,,2.4,3.0,3.3,3.1,4.4,,2.6,2.8,3.2,3.6,3.9,4.1,4.4
Bernardino Batista,2.3,2.6,2.8,3.2,3.1,3.8,2.4,2.6,2.9,3.3,3.7,4.0,4.3,4.5
Boa Ventura,,2.2,,2.7,3.0,**,,2.4,2.6,3.0,3.3,3.6,3.8,4.1
Boa Vista,3.5,3.1,2.8,2.7,3.5,4.1,3.6,3.7,4.0,4.4,4.8,5.0,5.3,5.5
Bom Jesus,2.7,3.9,3.8,3.6,3.2,3.2,2.8,3.0,3.3,3.7,4.1,4.4,4.7,4.9
Bom Sucesso,,,3.8,,3.5,3.3,,,3.9,4.2,4.5,4.8,5.1,5.3
Bonito de Santa Fé,,1.7,1.6,,,**,,2.0,2.3,2.8,3.2,3.5,3.7,4.0
Boqueirão,3.0,3.2,3.7,3.4,2.9,2.7,3.0,3.2,3.4,3.8,4.2,4.5,4.7,5.0
Borborema,,3.0,3.1,3.2,2.4,3.1,,3.1,3.3,3.6,3.9,4.2,4.5,4.7
Brejo do Cruz,,2.5,3.1,3.4,3.3,4.4,,2.6,2.8,3.1,3.4,3.7,4.0,4.2
Brejo dos Santos,2.0,3.1,3.2,3.0,3.4,3.2,2.1,2.3,2.6,3.1,3.5,3.7,4.0,4.3
Caaporã,2.7,2.1,2.9,2.8,3.1,3.3,2.7,2.8,3.1,3.5,3.9,4.1,4.4,4.7
Cabaceiras,2.7,3.6,3.9,4.0,4.0,4.5,2.8,3.0,3.3,3.7,4.1,4.4,4.7,4.9
Cabedelo,2.7,3.1,3.2,3.5,3.8,4.0,2.7,2.9,3.1,3.5,3.9,4.2,4.5,4.7
Cachoeira dos Índios,1.8,2.3,2.7,3.0,2.4,*,1.9,2.2,2.6,3.1,3.5,3.7,4.0,4.3
Cacimba de Areia,,3.0,3.0,2.7,3.1,3.8,,3.1,3.3,3.6,4.0,4.2,4.5,4.8
Cacimba de Dentro,3.2,3.0,3.0,3.2,3.2,3.6,3.2,3.4,3.6,4.1,4.4,4.7,5.0,5.2
Cacimbas,,2.2,2.3,2.6,2.2,3.1,,2.3,2.4,2.8,3.1,3.3,3.6,3.9
Caiçara,2.5,2.8,3.1,3.0,3.1,2.9,2.5,2.7,2.9,3.3,3.7,4.0,4.2,4.5
Cajazeiras,2.5,2.5,2.7,3.0,2.6,3.5,2.5,2.7,3.0,3.4,3.8,4.0,4.3,4.6
Cajazeirinhas,2.7,3.3,3.1,4.0,3.8,3.7,2.7,2.9,3.1,3.5,3.9,4.2,4.4,4.7
Caldas Brandão,,3.0,2.3,,2.3,3.7,,3.1,3.3,3.6,4.0,4.2,4.5,4.7
Camalaú,,,,,,4.9,,,,,,5.1,5.4,5.6
Campina Grande,,2.6,2.9,2.9,3.4,3.7,,2.7,2.9,3.2,3.5,3.8,4.1,4.3
Capim,2.0,2.6,3.2,2.9,3.1,3.1,2.0,2.2,2.6,3.0,3.4,3.7,3.9,4.2
Caraúbas,,2.2,,,3.3,**,,2.3,2.5,2.8,3.1,3.4,3.6,3.9
Carrapateira,3.1,3.1,4.5,4.0,3.8,4.5,3.2,3.3,3.6,4.0,4.4,4.6,4.9,5.2
Casserengue,2.4,2.1,3.2,3.2,3.1,3.5,2.4,2.6,2.9,3.3,3.7,3.9,4.2,4.5
Catingueira,2.5,3.7,3.0,3.4,3.5,3.3,2.6,2.7,3.0,3.4,3.7,4.0,4.3,4.5
Catolé do Rocha,2.9,3.2,3.4,3.4,3.2,3.0,2.9,3.1,3.4,3.8,4.1,4.4,4.7,4.9
Caturité,2.9,2.2,3.0,3.0,3.1,3.7,2.9,3.1,3.3,3.7,4.1,4.4,4.7,4.9
Conceição,,2.4,2.3,2.8,2.9,3.1,,2.5,2.7,3.0,3.4,3.6,3.9,4.2
Condado,1.8,2.0,2.2,3.4,3.4,4.3,1.9,2.2,2.7,3.3,3.7,4.0,4.3,4.5
Conde,2.6,2.9,3.3,3.1,2.8,3.1,2.6,2.8,3.1,3.5,3.9,4.1,4.4,4.7
Congo,3.3,2.9,,3.6,4.2,4.1,3.3,3.5,3.7,4.1,4.5,4.8,5.0,5.3
Coremas,,,3.3,,3.1,3.9,,,3.4,3.7,4.0,4.3,4.6,4.8
Cruz do Espírito Santo,3.4,2.8,3.0,2.3,2.2,2.5,3.4,3.5,3.8,4.2,4.6,4.8,5.1,5.4
Cubati,3.1,2.6,3.2,3.5,3.1,2.7,3.2,3.4,3.7,4.2,4.6,4.8,5.1,5.3
Cuité,1.9,2.1,2.7,3.7,3.8,3.6,2.0,2.2,2.6,3.1,3.6,3.8,4.1,4.4
Cuité de Mamanguape,2.8,3.2,2.8,2.5,2.7,2.8,2.8,3.0,3.3,3.7,4.0,4.3,4.6,4.8
Cuitegi,,,,,3.0,3.6,,,,,3.2,3.5,3.7,4.0
Curral de Cima,2.8,3.8,3.2,3.4,3.8,3.0,2.8,3.0,3.3,3.7,4.0,4.3,4.6,4.8
Curral Velho,,3.4,3.1,2.8,4.1,3.7,,3.5,3.7,4.0,4.3,4.6,4.9,5.1
Damião,2.0,2.4,2.6,3.1,3.4,4.1,2.0,2.3,2.6,3.1,3.6,3.8,4.1,4.4
Desterro,2.5,2.8,2.2,,,**,2.5,2.7,3.0,3.3,3.7,4.0,4.2,4.5
Diamante,2.2,3.6,3.0,2.2,3.1,3.4,2.3,2.4,2.7,3.0,3.4,3.7,3.9,4.2
Dona Inês,3.1,3.6,3.6,4.0,4.3,4.2,3.1,3.2,3.5,3.9,4.3,4.6,4.8,5.1
Duas Estradas,2.6,3.0,3.1,2.9,3.1,3.5,2.6,2.7,3.0,3.4,3.7,4.0,4.3,4.6
Emas,,,2.7,3.1,2.3,3.8,,,2.9,3.2,3.5,3.7,4.0,4.3
Esperança,3.0,3.6,4.0,4.2,3.9,4.3,3.1,3.2,3.5,3.9,4.3,4.5,4.8,5.1
Fagundes,2.7,2.7,2.2,2.0,2.7,3.7,2.7,2.9,3.2,3.6,3.9,4.2,4.5,4.7
Frei Martinho,2.7,1.9,3.3,3.5,3.8,3.3,2.7,2.8,3.1,3.5,3.9,4.2,4.4,4.7
Gado Bravo,2.7,3.2,2.0,2.9,3.4,2.8,2.7,2.8,3.1,3.5,3.9,4.1,4.4,4.7
Guarabira,2.9,2.9,2.8,2.9,2.8,3.3,2.9,3.1,3.3,3.7,4.1,4.4,4.6,4.9
Gurinhém,2.2,1.8,2.3,2.0,2.5,2.8,2.2,2.4,2.6,3.0,3.4,3.7,3.9,4.2
Gurjão,2.7,2.6,2.5,2.8,3.2,3.2,2.7,2.9,3.1,3.5,3.9,4.2,4.4,4.7
Ibiara,,2.9,3.1,3.2,3.2,3.5,,3.0,3.2,3.5,3.9,4.1,4.4,4.7
Igaracy,2.5,2.9,2.9,3.3,3.7,4.2,2.6,2.7,3.0,3.3,3.7,4.0,4.3,4.5
Imaculada,2.4,3.0,3.1,3.1,2.9,3.2,2.4,2.6,2.8,3.2,3.6,3.9,4.1,4.4
Ingá,2.3,2.3,2.7,2.6,1.8,3.0,2.3,2.5,2.7,3.1,3.5,3.7,4.0,4.3
Itabaiana,3.0,2.2,2.4,2.5,2.5,2.0,3.0,3.2,3.4,3.8,4.2,4.5,4.7,5.0
Itaporanga,,2.5,2.2,2.1,2.8,*,,2.6,2.8,3.1,3.4,3.7,3.9,4.2
Itapororoca,2.2,3.3,2.5,2.8,3.0,3.0,2.2,2.3,2.6,3.0,3.3,3.6,3.9,4.1
Itatuba,,,3.3,2.7,3.3,3.4,,,3.5,3.8,4.1,4.4,4.6,4.9
Jacaraú,2.7,2.9,3.3,3.6,3.4,3.4,2.8,2.9,3.2,3.6,3.9,4.2,4.5,4.7
Jericó,,2.5,2.7,3.7,2.9,3.6,,2.7,2.9,3.2,3.6,3.9,4.1,4.4
João Pessoa,2.4,3.0,3.4,3.9,3.7,3.8,2.5,2.6,2.9,3.4,3.8,4.0,4.3,4.6
Joca Claudino,,3.2,,3.2,3.0,3.3,,3.3,3.5,3.8,4.1,4.4,4.7,4.9
Juarez Távora,2.3,2.3,2.8,2.8,2.4,2.5,2.4,2.5,2.8,3.2,3.6,3.8,4.1,4.4
Juazeirinho,1.8,2.9,3.3,2.6,3.3,2.8,1.9,2.1,2.5,3.0,3.4,3.7,3.9,4.2
Junco do Seridó,2.1,2.7,2.1,2.3,2.9,3.9,2.1,2.3,2.6,3.0,3.4,3.6,3.9,4.2
Juripiranga,,1.9,,,3.2,3.5,,2.2,2.5,3.0,3.4,3.6,3.9,4.2
Juru,,2.7,,3.2,,**,,2.8,3.0,3.3,3.7,3.9,4.2,4.5
Lagoa de Dentro,2.6,2.6,3.2,3.4,3.1,3.4,2.7,2.8,3.1,3.5,3.8,4.1,4.4,4.6
Lagoa Seca,2.7,3.4,3.3,3.1,3.2,**,2.7,2.9,3.1,3.5,3.9,4.2,4.4,4.7
Lastro,2.6,2.2,2.5,2.9,2.5,3.4,2.6,2.7,3.0,3.4,3.8,4.1,4.3,4.6
Livramento,2.3,2.5,3.3,3.3,3.5,3.8,2.3,2.5,2.7,3.1,3.5,3.7,4.0,4.3
Logradouro,2.7,3.0,2.8,3.3,3.3,4.7,2.7,2.8,3.1,3.5,3.9,4.1,4.4,4.7
Lucena,2.7,2.8,3.1,3.2,3.2,3.3,2.7,2.9,3.1,3.5,3.9,4.2,4.5,4.7
Mãe d'Água,2.5,1.9,4.2,2.8,3.6,4.1,2.5,2.7,2.9,3.3,3.7,3.9,4.2,4.5
Malta,,4.5,3.5,,4.4,4.5,,4.6,4.8,5.1,5.4,5.6,5.9,6.1
Mamanguape,2.0,2.4,2.2,3.3,3.4,3.3,2.0,2.2,2.4,2.8,3.1,3.4,3.7,3.9
Manaíra,,,3.1,3.6,3.9,4.4,,,3.3,3.6,3.9,4.2,4.4,4.7
Marcação,2.3,2.5,,2.0,2.1,*,2.3,2.4,2.7,3.1,3.4,3.7,4.0,4.2
Mari,2.3,2.5,4.3,2.6,1.8,3.0,2.4,2.5,2.8,3.1,3.5,3.8,4.0,4.3
Marizópolis,3.1,2.8,3.0,3.9,3.3,3.6,3.1,3.3,3.5,3.9,4.3,4.6,4.8,5.1
Massaranduba,2.5,3.3,2.6,3.3,3.1,3.8,2.5,2.7,2.9,3.3,3.7,3.9,4.2,4.5
Mataraca,2.1,2.7,3.1,2.8,2.9,3.2,2.2,2.4,2.7,3.1,3.5,3.8,4.1,4.3
Mato Grosso,,,,,3.5,**,,,,,3.7,4.0,4.3,4.5
Maturéia,1.9,2.8,3.5,3.3,3.2,3.4,2.0,2.3,2.6,3.1,3.6,3.8,4.1,4.4
Mogeiro,,,3.5,3.3,3.4,3.6,,,3.6,3.9,4.2,4.5,4.8,5.0
Montadas,3.3,3.2,3.2,3.0,3.3,3.3,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.3
Monte Horebe,2.4,3.0,2.5,2.9,2.7,3.2,2.5,2.7,3.1,3.5,4.0,4.2,4.5,4.8
Monteiro,3.1,3.2,3.1,3.8,3.7,3.9,3.1,3.3,3.5,3.9,4.3,4.6,4.8,5.1
Mulungu,2.2,2.1,,,,4.0,2.2,2.3,2.6,3.0,3.3,3.6,3.9,4.1
Natuba,2.7,2.6,2.8,3.3,2.7,3.4,2.7,2.9,3.1,3.5,3.9,4.2,4.4,4.7
Nazarezinho,1.9,2.8,2.3,2.7,2.6,3.4,2.0,2.3,2.6,3.2,3.6,3.9,4.1,4.4
Nova Floresta,2.1,2.6,2.8,3.2,3.4,3.9,2.2,2.4,2.6,3.0,3.4,3.7,4.0,4.2
Nova Olinda,2.1,2.1,1.4,2.6,3.2,3.5,2.1,2.2,2.5,2.9,3.2,3.5,3.8,4.0
Nova Palmeira,2.0,2.8,2.8,,3.5,4.1,2.1,2.4,2.9,3.4,3.9,4.1,4.4,4.7
Olho d'Água,,,3.2,2.5,3.3,3.6,,,3.3,3.6,3.9,4.2,4.5,4.7
Olivedos,3.3,3.4,3.2,2.6,5.0,5.4,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.3
Ouro Velho,2.7,2.5,,2.9,2.4,**,2.7,2.9,3.1,3.5,3.9,4.2,4.4,4.7
Passagem,1.9,2.7,3.3,3.6,3.8,2.7,2.0,2.1,2.4,2.9,3.3,3.5,3.8,4.1
Patos,2.1,2.7,3.0,3.2,3.2,3.8,2.2,2.3,2.6,3.1,3.4,3.7,4.0,4.3
Paulista,2.2,3.8,3.6,4.2,4.2,4.8,2.3,2.4,2.7,3.1,3.5,3.8,4.0,4.3
Pedra Branca,2.2,2.6,2.9,3.0,4.0,3.9,2.2,2.4,2.7,3.0,3.4,3.7,4.0,4.2
Pedra Lavrada,1.9,2.4,3.4,3.8,4.1,4.3,2.0,2.3,2.7,3.3,3.8,4.0,4.3,4.6
Pedras de Fogo,2.2,2.4,2.9,3.0,2.5,3.6,2.3,2.4,2.7,3.1,3.5,3.7,4.0,4.3
Pedro Régis,2.7,2.6,2.9,3.1,3.5,2.7,2.8,2.9,3.2,3.6,3.9,4.2,4.5,4.7
Piancó,2.4,2.8,2.8,2.6,2.8,3.6,2.4,2.6,2.8,3.2,3.6,3.8,4.1,4.4
Picuí,2.2,3.1,3.5,4.2,4.3,4.1,2.3,2.5,2.8,3.3,3.7,3.9,4.2,4.5
Pilar,2.4,3.1,3.2,2.9,2.1,2.8,2.4,2.5,2.8,3.2,3.5,3.8,4.1,4.4
Pilões,2.5,2.7,3.0,3.2,2.9,2.9,2.5,2.6,2.9,3.3,3.7,3.9,4.2,4.5
Pilõezinhos,2.9,2.7,3.0,2.7,2.8,3.2,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
Pirpirituba,2.6,2.8,2.2,3.2,3.6,3.3,2.6,2.8,3.0,3.4,3.8,4.1,4.3,4.6
Pitimbu,2.3,2.8,,,,**,2.3,2.5,2.7,3.1,3.5,3.7,4.0,4.3
Pocinhos,2.6,2.3,3.0,2.8,3.4,3.9,2.7,2.9,3.2,3.6,4.0,4.3,4.5,4.8
Poço Dantas,2.4,3.5,2.7,3.2,3.6,4.0,2.4,2.6,2.8,3.2,3.6,3.9,4.1,4.4
Poço de José de Moura,,1.7,,3.6,3.5,3.5,,2.1,2.5,3.0,3.4,3.7,3.9,4.2
Pombal,3.0,3.5,3.8,4.4,4.6,4.9,3.0,3.2,3.4,3.8,4.2,4.5,4.7,5.0
Prata,,3.2,,,,**,,3.3,3.5,3.8,4.1,4.4,4.7,4.9
Princesa Isabel,2.0,3.1,2.7,3.2,3.5,3.6,2.1,2.4,2.8,3.3,3.7,4.0,4.3,4.5
Queimadas,2.0,2.3,2.9,3.3,3.4,3.8,2.0,2.2,2.5,2.9,3.2,3.5,3.8,4.0
Quixabá,,,3.8,3.6,3.4,4.5,,,4.0,4.2,4.6,4.8,5.1,5.3
Remígio,2.6,2.6,2.8,2.9,3.4,3.0,2.6,2.9,3.2,3.7,4.1,4.4,4.7,4.9
Riachão,2.5,3.1,3.5,3.1,3.4,3.2,2.5,2.6,2.9,3.3,3.6,3.9,4.2,4.5
Riachão do Bacamarte,,2.8,,,,4.4,,2.9,3.1,3.4,3.8,4.0,4.3,4.6
Riachão do Poço,2.3,3.5,2.8,3.1,3.3,3.6,2.4,2.6,2.9,3.4,3.8,4.0,4.3,4.6
Riacho de Santo Antônio,,1.9,3.1,,,**,,2.0,2.2,2.5,2.8,3.1,3.3,3.6
Riacho dos Cavalos,,,3.1,2.2,,4.4,,,3.3,3.6,3.9,4.2,4.4,4.7
Rio Tinto,2.3,2.8,2.9,2.9,2.9,3.4,2.3,2.5,2.7,3.1,3.5,3.8,4.0,4.3
Salgadinho,2.5,2.0,2.9,2.8,3.0,3.7,2.5,2.7,2.9,3.3,3.7,4.0,4.2,4.5
Salgado de São Félix,2.8,2.3,,,,**,2.8,3.0,3.2,3.6,4.0,4.3,4.5,4.8
Santa Cecília,,2.4,2.9,3.4,2.8,3.3,,2.4,2.6,2.9,3.3,3.5,3.8,4.1
Santa Cruz,,,,,4.4,**,,,,,4.6,4.9,5.1,5.4
Santa Helena,,,3.3,3.7,4.1,4.6,,,3.6,4.0,4.3,4.6,4.9,5.1
Santa Luzia,2.5,2.7,2.9,3.1,3.2,3.9,2.6,2.7,3.0,3.4,3.7,4.0,4.3,4.5
Santa Rita,2.2,2.4,2.4,2.8,2.3,3.0,2.2,2.4,2.7,3.2,3.6,3.8,4.1,4.4
Santa Teresinha,2.6,3.2,3.6,4.1,2.9,4.3,2.7,2.8,3.1,3.5,3.8,4.1,4.4,4.7
Santana de Mangueira,3.1,3.9,3.9,4.0,3.9,4.4,3.1,3.3,3.6,4.0,4.3,4.6,4.9,5.1
Santana dos Garrotes,3.0,3.3,3.0,,3.6,**,3.0,3.2,3.5,3.9,4.2,4.5,4.8,5.0
Santo André,,3.9,3.6,4.1,3.8,4.2,,4.0,4.2,4.6,4.9,5.1,5.4,5.6
São Bentinho,3.0,2.6,3.7,4.3,3.7,4.1,3.0,3.2,3.4,3.9,4.2,4.5,4.8,5.0
São Bento,1.9,1.9,2.4,3.3,3.5,4.0,2.0,2.3,2.8,3.3,3.8,4.0,4.3,4.6
São Domingos,,,3.0,3.4,3.9,4.0,,,3.1,3.4,3.7,4.0,4.2,4.5
São Domingos do Cariri,,,,3.9,2.9,4.4,,,,4.1,4.4,4.6,4.9,5.1
São Francisco,,3.8,2.7,3.4,3.5,4.3,,3.9,4.1,4.4,4.8,5.0,5.3,5.5
São João do Cariri,,,,,,2.9,,,,,,3.2,3.4,3.7
São João do Rio do Peixe,,2.9,2.8,2.7,2.6,3.1,,3.1,3.3,3.7,4.0,4.3,4.6,4.8
São José da Lagoa Tapada,2.3,3.3,3.1,3.2,,**,2.4,2.5,2.7,3.1,3.5,3.8,4.0,4.3
São José de Caiana,,3.2,2.1,,3.0,2.4,,3.2,3.4,3.8,4.1,4.4,4.7,4.9
São José de Espinharas,,,2.6,,3.2,**,,,2.8,3.0,3.3,3.6,3.9,4.1
São José de Piranhas,,,,,4.2,4.4,,,,,4.4,4.7,4.9,5.2
São José do Bonfim,2.0,3.1,3.1,2.8,3.1,3.1,2.0,2.2,2.5,3.0,3.4,3.6,3.9,4.2
São José do Brejo do Cruz,2.6,2.4,2.9,3.6,4.0,4.1,2.7,2.8,3.1,3.4,3.8,4.1,4.4,4.6
São José do Sabugi,2.7,2.9,3.6,3.8,4.3,4.5,2.7,2.8,3.1,3.5,3.9,4.1,4.4,4.7
São José dos Ramos,2.0,2.2,2.4,3.1,2.6,3.2,2.0,2.1,2.4,2.8,3.1,3.4,3.7,3.9
São Mamede,2.6,3.3,4.0,4.0,3.6,4.0,2.6,2.8,3.0,3.4,3.8,4.1,4.3,4.6
São Miguel de Taipu,,3.2,2.9,3.0,,2.7,,3.3,3.5,3.9,4.2,4.5,4.7,5.0
São Sebastião de Lagoa de Roça,2.9,3.4,3.6,3.8,3.2,3.8,2.9,3.1,3.4,3.8,4.2,4.5,4.8,5.0
São Sebastião do Umbuzeiro,,,,,,4.1,,,,,,4.4,4.6,4.9
São Vicente do Seridó,2.9,2.2,2.9,2.7,3.2,3.2,2.9,3.1,3.4,3.8,4.1,4.4,4.7,4.9
Sapé,1.7,2.6,2.6,2.4,2.4,2.7,1.8,2.1,2.5,3.0,3.4,3.7,4.0,4.2
Serra Branca,3.8,2.9,4.1,3.4,3.4,3.4,3.8,4.0,4.3,4.7,5.0,5.3,5.5,5.8
Serra da Raiz,,,,2.7,2.8,**,,,,2.9,3.1,3.4,3.6,3.9
Serra Grande,3.2,2.6,3.4,3.4,3.6,4.5,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.3
Serra Redonda,,,2.7,3.0,2.9,2.5,,,2.8,3.1,3.4,3.7,3.9,4.2
Sertãozinho,3.4,3.0,3.4,2.8,3.2,3.7,3.4,3.5,3.8,4.2,4.6,4.9,5.1,5.4
Sobrado,2.5,2.1,2.9,2.8,2.4,2.9,2.6,2.7,3.0,3.4,3.7,4.0,4.3,4.5
Solânea,2.4,2.6,2.7,3.0,2.5,3.3,2.4,2.6,2.8,3.2,3.6,3.8,4.1,4.4
Soledade,2.3,2.8,2.8,2.5,2.5,3.2,2.4,2.7,3.0,3.5,3.9,4.2,4.5,4.7
Sossêgo,,2.5,,,,3.3,,2.6,2.8,3.1,3.4,3.7,3.9,4.2
Sousa,2.6,2.3,2.3,3.4,4.1,4.0,2.6,2.8,3.1,3.5,3.9,4.2,4.4,4.7
Sumé,3.1,3.3,3.6,2.9,4.1,3.8,3.2,3.3,3.6,4.0,4.4,4.6,4.9,5.2
Tacima,2.8,2.2,3.1,2.6,3.2,3.9,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
Taperoá,2.1,2.8,2.4,2.9,2.4,3.6,2.2,2.4,2.8,3.2,3.7,3.9,4.2,4.5
Tavares,2.6,3.1,3.1,3.3,3.9,3.9,2.6,2.8,3.0,3.4,3.8,4.1,4.3,4.6
Teixeira,2.3,2.6,3.3,3.2,3.0,3.2,2.4,2.5,2.8,3.1,3.5,3.8,4.0,4.3
Tenório,1.8,2.2,2.2,2.7,3.7,2.7,1.9,2.2,2.7,3.3,3.8,4.0,4.3,4.6
Triunfo,1.9,3.6,2.8,2.9,3.3,3.6,2.0,2.2,2.5,3.0,3.4,3.7,3.9,4.2
Uiraúna,,2.5,,,,2.9,,2.6,2.8,3.1,3.5,3.7,4.0,4.3
Umbuzeiro,,3.6,3.6,3.3,3.5,3.8,,3.7,3.9,4.3,4.6,4.9,5.1,5.4
Várzea,,4.4,3.9,,5.1,5.3,,4.5,4.7,5.0,5.4,5.6,5.8,6.1
Vieirópolis,3.5,3.7,3.4,3.7,4.0,**,3.5,3.6,3.9,4.3,4.7,5.0,5.2,5.5
Zabelê,,,,,,3.8,,,,,,4.1,4.3,4.6
