Município,2005,2007,2009,2011,2013,2015,P-2007,P-2009,P-2011,P-2013,P-2015,P-2017,P-2019,P-2021
Baraúna,2.5,3.2,3.6,4.7,5.5,5.5,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Barra de Santa Rosa,2.2,3.2,3.5,4.5,4.3,4.7,2.3,2.9,3.4,3.7,4.0,4.3,4.6,4.9
Barra de Santana,3.0,3.1,3.2,3.9,4.1,5.0,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
Barra de São Miguel,2.5,4.4,3.0,4.8,4.8,4.8,2.6,2.9,3.4,3.7,4.0,4.3,4.6,4.9
Bayeux,2.5,2.9,3.3,4.0,3.8,4.2,2.6,3.0,3.5,3.7,4.0,4.3,4.6,4.9
Belém,2.5,2.9,3.7,3.9,4.0,4.6,2.5,2.9,3.3,3.5,3.8,4.1,4.4,4.8
Belém do Brejo do Cruz,1.9,2.3,3.0,3.7,4.2,4.3,2.1,2.6,3.0,3.3,3.6,3.9,4.2,4.5
Bernardino Batista,1.8,2.5,3.3,4.5,4.6,4.4,2.0,2.5,3.0,3.3,3.6,3.9,4.2,4.5
Boa Ventura,,2.5,3.0,,3.8,3.8,,2.7,3.0,3.2,3.5,3.8,4.1,4.4
Boa Vista,4.0,4.0,4.5,4.6,6.6,6.6,4.0,4.4,4.8,5.0,5.3,5.6,5.9,6.1
Bom Jesus,2.4,2.5,3.6,3.8,4.0,4.5,2.5,3.0,3.5,3.7,4.0,4.3,4.6,4.9
Bom Sucesso,3.4,3.3,3.9,3.8,,4.7,3.5,3.8,4.2,4.5,4.8,5.1,5.4,5.6
Bonito de Santa Fé,3.3,3.0,3.8,3.6,4.4,4.4,3.4,3.7,4.2,4.4,4.7,5.0,5.3,5.6
Boqueirão,2.6,3.6,3.7,3.7,3.9,4.8,2.6,3.0,3.4,3.6,3.9,4.2,4.5,4.9
Borborema,2.8,2.1,4.1,3.6,3.1,4.2,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Brejo do Cruz,2.6,2.6,3.3,4.0,4.4,5.0,2.6,3.0,3.4,3.7,4.0,4.3,4.6,4.9
Brejo dos Santos,2.5,3.1,3.7,4.6,4.7,4.0,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Caaporã,2.9,3.1,3.1,3.4,3.4,3.7,2.9,3.3,3.7,3.9,4.2,4.5,4.8,5.1
Cabaceiras,2.6,3.4,4.9,5.4,5.6,6.0,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
Cabedelo,2.4,3.8,3.9,4.1,4.3,4.5,2.4,2.7,3.1,3.4,3.7,4.0,4.3,4.6
Cachoeira dos Índios,2.2,2.8,3.4,3.2,3.5,3.9,2.3,2.7,3.2,3.4,3.7,4.0,4.3,4.7
Cacimba de Areia,2.6,2.7,3.2,3.5,3.2,3.9,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
Cacimba de Dentro,2.8,2.9,3.3,3.6,3.4,4.3,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Cacimbas,2.0,2.7,2.9,3.5,3.8,4.1,2.1,2.5,2.9,3.1,3.4,3.7,4.0,4.3
Caiçara,2.5,3.1,3.4,4.0,3.4,4.8,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Cajazeiras,2.1,3.0,3.6,3.6,3.9,4.0,2.2,2.5,2.8,3.1,3.4,3.7,4.0,4.3
Cajazeirinhas,,3.2,4.5,4.7,5.4,5.2,,3.4,3.7,4.0,4.3,4.5,4.8,5.1
Caldas Brandão,4.1,3.6,3.1,3.3,2.5,4.7,4.1,4.5,4.9,5.1,5.4,5.7,6.0,6.2
Camalaú,3.1,3.2,4.2,4.5,5.2,5.0,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
Campina Grande,3.1,3.3,3.8,4.2,4.3,4.7,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
Capim,2.1,2.3,2.8,2.9,3.2,3.5,2.2,2.7,3.1,3.4,3.7,4.0,4.3,4.6
Caraúbas,,3.5,4.2,4.1,3.8,4.7,,3.7,4.1,4.4,4.7,4.9,5.2,5.5
Carrapateira,3.5,3.7,4.5,4.4,4.8,5.7,3.6,3.9,4.3,4.6,4.9,5.2,5.5,5.7
Casserengue,2.6,3.2,3.6,4.3,4.9,4.8,2.7,3.1,3.6,3.9,4.2,4.5,4.8,5.1
Catingueira,2.2,2.2,3.7,3.4,3.8,3.8,2.4,3.0,3.5,3.8,4.1,4.4,4.7,5.0
Catolé do Rocha,3.1,3.4,4.1,4.1,4.4,4.4,3.1,3.5,3.9,4.2,4.5,4.8,5.1,5.4
Caturité,3.2,3.0,4.1,3.7,3.5,4.1,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
Conceição,2.7,2.7,3.4,4.1,3.2,3.9,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Condado,1.8,2.2,3.1,4.4,4.0,4.7,1.9,2.5,3.0,3.2,3.5,3.8,4.1,4.5
Conde,2.8,3.2,3.9,4.0,3.9,4.0,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Congo,3.4,3.5,3.6,4.4,4.1,4.4,3.5,3.8,4.2,4.5,4.8,5.1,5.4,5.7
Coremas,2.4,2.5,3.0,3.1,3.6,4.1,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Cruz do Espírito Santo,2.7,3.0,2.9,3.0,3.7,3.6,2.7,3.1,3.5,3.7,4.0,4.3,4.6,5.0
Cubati,3.0,3.1,3.4,3.9,4.0,4.4,3.1,3.4,3.9,4.1,4.4,4.7,5.0,5.3
Cuité,2.1,2.9,3.3,4.7,4.4,5.7,2.2,2.5,2.9,3.2,3.5,3.8,4.1,4.4
Cuité de Mamanguape,2.2,3.2,2.9,3.5,3.3,4.3,2.4,3.1,3.7,4.0,4.3,4.6,4.9,5.2
Cuitegi,2.3,3.2,3.3,3.3,3.8,4.1,2.5,2.9,3.4,3.7,4.0,4.3,4.6,4.9
Curral de Cima,2.7,3.2,3.6,3.9,5.3,3.6,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Curral Velho,2.7,3.0,3.4,3.9,,4.6,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Damião,2.4,3.2,3.6,4.1,3.7,4.1,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Desterro,2.7,2.6,3.1,3.7,3.1,3.6,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
Diamante,,4.6,3.8,3.6,3.9,4.4,,4.8,5.1,5.3,5.6,5.9,6.1,6.4
Dona Inês,3.3,3.4,4.2,4.1,5.3,5.3,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
Duas Estradas,2.3,3.0,2.2,3.8,3.9,4.0,2.5,3.1,3.6,3.9,4.2,4.5,4.8,5.1
Emas,2.8,3.1,3.1,3.0,4.0,4.3,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Esperança,3.6,4.3,4.5,4.8,4.8,5.7,3.7,4.0,4.5,4.7,5.0,5.3,5.6,5.9
Fagundes,3.0,2.8,3.4,3.9,4.0,4.6,3.0,3.4,3.8,4.1,4.3,4.6,4.9,5.2
Frei Martinho,,3.4,3.8,5.3,4.8,4.5,,3.6,3.9,4.2,4.5,4.8,5.1,5.3
Gado Bravo,,3.2,3.6,3.1,3.9,3.8,,3.4,3.8,4.0,4.3,4.6,4.9,5.2
Guarabira,2.7,3.3,3.4,3.6,4.0,4.4,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Gurinhém,2.0,2.2,2.6,2.9,3.1,3.6,2.2,2.6,3.1,3.3,3.6,3.9,4.2,4.6
Gurjão,,3.1,,3.6,3.9,4.9,,3.3,3.6,3.9,4.2,4.5,4.8,5.1
Ibiara,3.2,3.3,,3.7,3.9,4.8,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
Igaracy,,3.0,3.4,3.2,3.9,4.6,,3.2,3.6,3.9,4.1,4.4,4.7,5.0
Imaculada,2.0,2.7,3.1,3.1,3.1,4.2,2.0,2.3,2.7,3.0,3.2,3.5,3.8,4.2
Ingá,2.2,3.8,3.1,3.2,3.5,3.8,2.3,2.6,3.0,3.3,3.6,3.9,4.2,4.5
Itabaiana,2.9,2.8,3.3,3.2,2.8,3.5,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
Itaporanga,2.7,2.9,3.0,3.4,3.8,4.6,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Itapororoca,1.9,2.6,2.9,3.2,3.2,4.0,2.1,2.6,3.1,3.4,3.7,4.0,4.3,4.6
Itatuba,2.6,2.5,2.9,3.0,3.6,3.9,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
Jacaraú,2.2,2.9,4.3,4.8,4.1,4.1,2.3,2.7,3.1,3.4,3.7,4.0,4.3,4.6
Jericó,2.6,2.6,3.4,3.7,2.8,4.6,2.7,3.2,3.7,4.0,4.3,4.6,4.9,5.2
João Pessoa,2.9,3.5,4.0,4.6,4.5,4.6,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
Joca Claudino,3.0,3.1,3.5,3.2,3.8,4.8,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
Juarez Távora,2.3,3.3,3.7,3.2,3.8,4.6,2.4,2.7,3.1,3.3,3.6,3.9,4.2,4.6
Juazeirinho,3.0,4.2,3.9,4.0,3.7,4.3,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
Junco do Seridó,2.4,2.9,3.5,3.5,4.0,4.1,2.4,2.8,3.1,3.4,3.7,4.0,4.3,4.6
Juripiranga,2.4,2.6,3.3,3.6,3.3,4.1,2.5,2.8,3.2,3.4,3.7,4.0,4.3,4.7
Juru,,3.3,3.4,3.9,4.8,4.8,,3.5,3.8,4.1,4.4,4.7,5.0,5.3
Lagoa,,,2.7,3.7,3.4,4.2,,,2.9,3.2,3.5,3.8,4.1,4.4
Lagoa de Dentro,3.3,3.3,3.9,,3.7,4.1,3.4,3.7,4.2,4.4,4.7,5.0,5.3,5.6
Lagoa Seca,2.6,3.7,4.4,4.3,4.6,4.9,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
Lastro,,3.6,3.1,3.6,3.7,4.6,,3.8,4.1,4.4,4.7,5.0,5.2,5.5
Livramento,3.0,3.5,4.5,,4.8,5.3,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
Logradouro,,2.8,2.7,,4.5,5.6,,3.0,3.3,3.6,3.9,4.2,4.5,4.8
Lucena,2.7,3.3,3.5,4.1,3.2,4.0,2.8,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Mãe d'Água,2.2,2.7,3.5,4.1,4.0,5.3,2.3,2.7,3.2,3.5,3.7,4.0,4.4,4.7
Malta,,3.5,3.5,4.4,4.2,4.6,,3.7,4.0,4.3,4.6,4.9,5.2,5.5
Mamanguape,2.1,2.9,3.0,3.8,3.6,3.9,2.2,2.8,3.3,3.6,3.8,4.1,4.5,4.8
Manaíra,2.1,2.4,3.0,3.6,4.5,5.2,2.3,2.7,3.2,3.5,3.8,4.1,4.4,4.7
Marcação,1.8,2.4,2.5,2.8,2.7,3.0,2.0,2.7,3.2,3.5,3.8,4.1,4.4,4.7
Mari,2.7,3.7,4.1,3.6,3.2,3.6,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Marizópolis,3.3,3.5,3.0,3.7,4.7,4.3,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
Massaranduba,2.5,4.0,3.8,3.4,4.0,4.4,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Mataraca,2.1,2.8,3.8,3.1,3.4,3.5,2.2,2.7,3.2,3.5,3.8,4.1,4.4,4.7
Matinhas,,,,,,3.7,,,,,,4.0,4.3,4.6
Mato Grosso,2.7,2.5,3.2,3.5,3.9,**,2.7,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Maturéia,2.3,3.5,4.1,4.0,4.2,4.4,2.4,2.9,3.4,3.7,4.0,4.3,4.6,4.9
Mogeiro,3.1,3.1,3.4,3.5,3.8,3.8,3.1,3.5,3.9,4.2,4.4,4.7,5.0,5.3
Montadas,3.5,3.4,3.8,3.9,4.7,5.1,3.6,3.9,4.3,4.6,4.9,5.2,5.5,5.8
Monte Horebe,,3.0,2.8,3.4,3.9,4.6,,3.2,3.5,3.8,4.1,4.4,4.7,5.0
Monteiro,3.9,3.9,3.8,4.5,4.1,5.3,3.9,4.3,4.7,5.0,5.2,5.5,5.8,6.1
Mulungu,2.2,2.5,3.6,3.5,4.6,4.2,2.4,3.0,3.6,3.9,4.2,4.5,4.8,5.1
Natuba,2.5,3.2,3.4,3.7,2.8,4.7,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Nazarezinho,2.3,3.4,3.2,3.4,3.9,4.4,2.4,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Nova Floresta,2.1,3.0,3.2,4.4,4.6,4.6,2.2,2.7,3.2,3.5,3.8,4.1,4.4,4.7
Nova Olinda,2.2,2.5,2.6,3.6,4.0,4.2,2.3,2.7,3.1,3.4,3.7,4.0,4.3,4.6
Nova Palmeira,2.2,2.6,4.2,3.6,5.7,4.6,2.3,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Olho d'Água,3.5,3.3,3.8,3.3,3.8,5.2,3.6,3.9,4.3,4.6,4.9,5.2,5.5,5.7
Olivedos,2.5,3.7,3.9,4.6,5.7,5.0,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Ouro Velho,,3.1,3.3,3.8,4.3,5.1,,3.3,3.7,4.0,4.2,4.5,4.8,5.1
Parari,,4.0,,5.1,,4.8,,4.2,4.5,4.8,5.1,5.3,5.6,5.9
Passagem,,,3.8,3.7,,4.1,,,4.1,4.4,4.7,5.0,5.3,5.6
Patos,2.6,3.2,3.9,4.2,4.4,4.8,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Paulista,3.0,3.8,3.9,4.4,4.1,5.3,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
Pedra Branca,2.6,3.2,3.5,5.0,4.6,4.9,2.7,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Pedra Lavrada,1.7,3.6,4.8,5.2,5.6,5.6,1.8,2.2,2.6,2.8,3.1,3.4,3.7,4.0
Pedras de Fogo,2.1,2.7,3.4,4.1,4.1,4.6,2.1,2.5,2.9,3.2,3.4,3.7,4.0,4.4
Pedro Régis,,2.7,3.5,3.1,2.8,3.9,,2.9,3.3,3.5,3.8,4.1,4.4,4.7
Piancó,2.1,3.3,3.8,3.4,3.4,4.2,2.1,2.4,2.8,3.1,3.4,3.7,4.0,4.3
Picuí,2.6,3.3,3.6,5.1,5.4,5.6,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Pilar,2.3,2.8,2.8,3.0,3.1,3.5,2.3,2.6,3.0,3.3,3.6,3.9,4.2,4.5
Pilões,1.6,3.1,3.8,4.3,3.8,4.4,1.8,2.3,2.8,3.1,3.4,3.7,4.0,4.3
Pilõezinhos,2.4,3.5,3.4,3.4,3.6,3.9,2.5,2.8,3.2,3.5,3.7,4.0,4.4,4.7
Pirpirituba,2.5,2.8,3.7,3.5,3.8,4.2,2.5,2.9,3.3,3.5,3.8,4.1,4.4,4.7
Pitimbu,1.7,2.5,3.2,3.4,3.5,3.9,1.8,2.1,2.5,2.7,3.0,3.3,3.6,3.9
Pocinhos,2.4,2.9,3.7,4.6,4.1,4.2,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Poço Dantas,,2.5,3.0,,3.3,3.7,,2.7,3.0,3.2,3.5,3.8,4.1,4.4
Poço de José de Moura,2.1,2.7,4.3,4.2,4.8,4.2,2.2,2.6,3.0,3.3,3.6,3.9,4.2,4.5
Pombal,3.2,3.5,4.1,5.1,6.0,6.2,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
Prata,2.8,3.6,4.2,4.1,3.5,5.4,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Princesa Isabel,2.6,3.1,3.5,4.5,4.8,4.9,2.6,3.0,3.4,3.6,3.9,4.2,4.5,4.9
Puxinanã,2.9,3.5,3.4,3.8,4.6,4.8,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
Queimadas,2.9,2.9,3.6,4.3,4.2,4.8,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
Quixabá,,,3.7,4.2,,**,,,4.0,4.3,4.6,4.9,5.2,5.5
Remígio,2.3,2.9,3.7,3.8,3.8,4.3,2.4,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Riachão,2.5,3.3,3.9,4.4,5.0,4.5,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Riachão do Bacamarte,2.2,2.7,2.8,3.6,3.8,4.3,2.2,2.5,2.9,3.2,3.5,3.8,4.1,4.4
Riachão do Poço,2.0,3.2,3.4,3.7,4.1,4.6,2.1,2.7,3.2,3.5,3.8,4.1,4.4,4.7
Riacho de Santo Antônio,,2.3,4.7,4.0,4.1,4.4,,2.5,2.8,3.1,3.3,3.6,3.9,4.2
Riacho dos Cavalos,2.0,3.0,,4.5,4.7,4.7,2.2,2.8,3.3,3.6,3.9,4.2,4.5,4.8
Rio Tinto,2.4,3.2,3.2,3.8,4.4,4.0,2.4,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Salgadinho,,3.0,,4.4,3.9,4.1,,3.1,3.5,3.8,4.0,4.3,4.6,4.9
Salgado de São Félix,,2.4,4.4,4.2,3.3,3.3,,2.5,2.9,3.1,3.4,3.7,4.0,4.3
Santa Cecília,,2.8,3.2,4.0,4.3,4.4,,3.0,3.3,3.6,3.9,4.2,4.5,4.8
Santa Cruz,2.5,3.7,4.7,4.4,5.0,5.9,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
Santa Helena,2.4,3.0,4.9,4.2,,5.7,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Santa Inês,3.3,2.8,2.1,,3.6,4.9,3.3,3.7,4.1,4.4,4.7,5.0,5.3,5.6
Santa Luzia,2.4,3.4,3.6,4.2,4.0,4.9,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
Santa Rita,2.3,2.6,3.1,3.5,3.2,3.6,2.3,2.6,3.0,3.3,3.6,3.9,4.2,4.5
Santa Teresinha,2.7,3.3,3.7,4.1,4.2,4.4,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
Santana de Mangueira,,,4.0,3.6,4.5,4.7,,,4.3,4.5,4.8,5.1,5.4,5.7
Santana dos Garrotes,3.4,3.8,3.8,2.7,4.4,3.9,3.4,3.8,4.2,4.5,4.8,5.1,5.3,5.6
Santo André,,3.3,3.1,4.2,4.7,4.8,,3.5,3.8,4.1,4.4,4.7,5.0,5.3
São Bentinho,3.1,3.2,4.0,4.4,5.6,4.8,3.1,3.5,3.9,4.2,4.5,4.8,5.1,5.4
São Bento,1.7,2.6,3.0,3.7,4.0,4.7,1.9,2.5,3.0,3.3,3.6,3.9,4.2,4.5
São Domingos,,3.5,3.3,3.7,4.2,4.9,,3.7,4.0,4.3,4.6,4.9,5.1,5.4
São Domingos do Cariri,,,4.8,5.6,,**,,,5.1,5.4,5.6,5.9,6.2,6.4
São Francisco,2.8,4.5,3.8,4.1,4.7,5.8,2.8,3.2,3.6,3.8,4.1,4.4,4.7,5.0
São João do Cariri,3.0,2.9,3.9,4.4,4.8,5.1,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
São João do Rio do Peixe,,2.7,3.0,,3.8,4.0,,2.8,3.2,3.4,3.7,4.0,4.3,4.6
São João do Tigre,,3.5,3.1,3.4,4.2,4.8,,3.7,4.0,4.3,4.6,4.9,5.2,5.4
São José da Lagoa Tapada,1.9,3.6,3.5,3.2,4.7,4.0,2.0,2.6,3.1,3.3,3.6,3.9,4.2,4.6
São José de Caiana,,3.0,3.0,3.3,3.4,3.6,,3.1,3.5,3.8,4.0,4.3,4.6,4.9
São José de Espinharas,,3.1,2.8,3.3,3.2,3.8,,3.3,3.6,3.9,4.2,4.5,4.8,5.1
São José de Piranhas,2.2,3.3,3.3,3.9,5.0,5.2,2.3,2.8,3.3,3.5,3.8,4.1,4.5,4.8
São José de Princesa,,,,4.2,,**,,,,4.5,4.8,5.1,5.3,5.6
São José do Bonfim,2.4,2.7,3.0,3.7,4.0,3.9,2.5,2.8,3.2,3.5,3.8,4.1,4.4,4.7
São José do Brejo do Cruz,2.6,3.5,3.8,4.4,3.9,4.6,2.6,3.0,3.4,3.6,3.9,4.2,4.5,4.8
São José do Sabugi,2.5,3.1,3.9,3.8,4.8,5.3,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
São José dos Cordeiros,,,3.6,3.5,4.3,**,,,3.9,4.2,4.5,4.8,5.1,5.4
São José dos Ramos,2.1,2.8,3.3,3.6,3.8,4.0,2.3,2.7,3.2,3.5,3.8,4.1,4.4,4.7
São Mamede,3.5,3.6,4.5,4.7,5.3,5.1,3.6,3.9,4.3,4.6,4.9,5.2,5.5,5.7
São Miguel de Taipu,2.8,3.1,2.9,2.8,3.4,3.5,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
São Sebastião de Lagoa de Roça,2.9,3.5,3.9,4.4,4.9,5.0,3.0,3.4,3.8,4.1,4.4,4.7,5.0,5.3
São Sebastião do Umbuzeiro,2.6,2.9,3.0,3.7,4.1,4.9,2.7,3.0,3.4,3.7,4.0,4.3,4.6,4.9
São Vicente do Seridó,,4.0,3.6,4.1,4.4,4.5,,4.2,4.6,4.9,5.1,5.4,5.7,5.9
Sapé,2.1,2.6,3.2,3.5,3.7,4.3,2.2,2.7,3.2,3.5,3.8,4.1,4.4,4.7
Serra Branca,3.4,3.6,3.6,3.9,4.6,5.0,3.5,3.8,4.2,4.5,4.8,5.1,5.4,5.7
Serra da Raiz,2.9,3.0,3.1,4.2,,4.2,2.9,3.3,3.7,4.0,4.3,4.6,4.9,5.2
Serra Grande,3.0,3.4,,4.4,4.4,5.4,3.1,3.4,3.8,4.1,4.4,4.7,5.0,5.3
Serra Redonda,2.2,2.8,3.1,3.0,4.0,4.4,2.3,2.7,3.2,3.5,3.7,4.1,4.4,4.7
Serraria,2.0,2.9,2.9,3.5,3.6,3.8,2.1,2.5,2.9,3.2,3.4,3.7,4.1,4.4
Sertãozinho,,3.2,4.4,4.2,4.0,4.7,,3.4,3.8,4.1,4.3,4.6,4.9,5.2
Sobrado,2.4,3.0,4.6,4.1,4.8,4.5,2.5,2.8,3.2,3.4,3.7,4.0,4.3,4.7
Solânea,2.4,2.7,3.4,3.6,3.4,3.9,2.5,2.9,3.4,3.6,3.9,4.2,4.6,4.9
Soledade,2.2,3.5,3.3,3.6,3.8,4.5,2.3,2.6,3.0,3.3,3.5,3.8,4.2,4.5
Sossêgo,2.2,2.6,3.1,4.6,4.7,4.9,2.2,2.5,2.9,3.2,3.5,3.8,4.1,4.4
Sousa,2.9,3.2,3.4,3.5,5.1,5.2,3.0,3.3,3.7,4.0,4.3,4.6,4.9,5.2
Sumé,2.8,3.4,4.0,3.9,4.4,4.9,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.0
Tacima,1.9,2.4,4.1,3.6,4.7,4.6,2.0,2.2,2.6,2.9,3.2,3.4,3.8,4.1
Taperoá,,3.3,3.6,3.9,4.4,5.0,,3.5,3.8,4.1,4.4,4.7,5.0,5.3
Tavares,2.8,3.5,4.2,3.9,5.0,5.4,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
Teixeira,2.2,2.9,3.5,4.3,3.9,4.2,2.4,2.8,3.3,3.6,3.9,4.2,4.5,4.8
Tenório,3.2,3.8,2.7,3.4,4.1,4.0,3.3,3.7,4.1,4.4,4.7,5.0,5.3,5.6
Triunfo,2.2,2.7,3.2,3.9,3.4,4.2,2.3,2.7,3.2,3.4,3.7,4.0,4.3,4.7
Uiraúna,2.6,2.9,3.1,3.0,3.6,4.1,2.6,3.0,3.4,3.6,3.9,4.2,4.5,4.8
Umbuzeiro,2.7,3.6,3.5,3.4,4.3,4.8,2.8,3.3,3.8,4.1,4.3,4.6,4.9,5.3
Várzea,,5.4,5.1,6.5,6.5,6.1,,5.5,5.8,6.1,6.3,6.5,6.8,7.0
Vieirópolis,,4.5,4.0,3.2,4.2,**,,4.7,5.0,5.3,5.6,5.8,6.1,6.3
Vista Serrana,,,3.3,,,**,,,3.6,3.9,4.2,4.5,4.8,5.1
Zabelê,3.2,3.7,3.1,4.3,4.0,4.6,3.3,3.6,4.0,4.3,4.6,4.9,5.2,5.5
