cd_IBGE,cd_Municipio,de_Municipio,vl_Populacao,vl_IDHM,vl_IDHM_Renda,vl_IDHM_Longevidade,vl_IDHM_Educacao,vl_IDEB_Anos_Finais,vl_Aprendizado_Anos_Finais,pr_Fluxo_Anos_Finais,vl_IDEB_Anos_Iniciais,vl_Aprendizado_Anos_Iniciais,pr_Fluxo_Anos_Iniciais,vl_Docentes_Fundamental,vl_Docentes_Medio,vl_Docentes_Pre_Escolar,vl_Escolas_Fundamental,vl_Escolas_Medio,vl_Escolas_Pre_Escolar,vl_Matriculas_Fundamental,vl_Matriculas_Medio,vl_Matriculas_Pre_Escolar
2509404,120,Mogeiro,13300,0.574,0.538,0.732,0.481,3.3,4.11,0.81,3.8,4.36,0.87,96,0,19,22,0,22,1641,0,365
2509503,121,Montadas,5611,0.59,0.545,0.748,0.505,3.3,4.53,0.74,5.1,5.74,0.89,56,0,9,7,0,5,919,0,168
2509602,122,Monte Horebe,4793,0.587,0.579,0.755,0.463,2.9,4.25,0.68,4.6,5.11,0.9,43,0,9,5,0,5,714,0,132
2509701,123,Monteiro,33039,0.628,0.625,0.709,0.558,3.7,4.17,0.88,5.1,5.34,0.96,132,0,25,15,0,13,2903,0,521
2509800,124,Mulungu,9882,0.565,0.548,0.778,0.423,3.4,3.95,0.87,4.3,4.82,0.89,64,0,14,17,0,17,829,0,233
2509909,125,Natuba,10455,0.541,0.516,0.71,0.432,3.1,3.83,0.8,4.7,5.07,0.93,82,0,21,20,0,20,1055,0,280
2510006,126,Nazarezinho,7307,0.562,0.528,0.747,0.449,3.4,4.23,0.8,4.5,5.01,0.9,44,0,8,12,0,11,757,0,185
2510105,127,Nova Floresta,10644,0.601,0.576,0.758,0.498,0,0,0.86,4.4,5.02,0.88,33,0,12,6,0,5,771,0,228
2510204,128,Nova Olinda,5971,0.573,0.557,0.744,0.453,4.1,4.68,0.87,4.8,5.28,0.91,47,0,10,6,0,5,583,0,201
2510303,129,Nova Palmeira,4849,0.595,0.567,0.762,0.488,4.4,4.84,0.91,4.6,5.71,0.81,31,0,8,6,0,6,451,0,111
2510402,130,Olho d'Água,6578,0.572,0.533,0.776,0.452,3.9,4.48,0.88,5.2,5.72,0.91,71,0,4,20,0,16,876,0,159
2510501,131,Olivedos,3916,0.603,0.531,0.766,0.54,5.4,5.89,0.92,5,5.57,0.9,44,19,4,14,1,11,590,186,95
2510600,132,Ouro Velho,3033,0.614,0.585,0.764,0.518,0,0,0.89,5.1,5.29,0.97,25,0,10,4,0,4,285,0,121
2510659,133,Parari,1782,0.584,0.583,0.733,0.467,0,0,0.81,4.8,4.94,0.97,15,0,4,6,0,6,155,0,43
2510709,134,Passagem,2404,0.62,0.566,0.79,0.534,2.7,3.88,0.69,4.1,4.61,0.88,32,0,6,4,0,3,357,0,77
2510808,135,Patos,107067,0.701,0.667,0.821,0.628,3.8,4.63,0.82,4.8,5.19,0.93,352,0,87,40,0,37,6529,0,1025
2510907,136,Paulista,12263,0.587,0.587,0.747,0.461,4.7,5.45,0.87,5.3,5.53,0.96,69,0,12,15,0,15,1426,0,248
2511004,137,Pedra Branca,3800,0.599,0.532,0.761,0.532,3.9,4.4,0.88,4.9,5.05,0.96,40,0,7,5,0,5,497,0,104
2511103,138,Pedra Lavrada,8053,0.574,0.564,0.733,0.458,4.3,5.33,0.81,5.6,5.97,0.94,56,0,14,6,0,7,1057,0,197
2511202,139,Pedras de Fogo,28395,0.59,0.568,0.771,0.468,3.4,4.85,0.71,4.3,5,0.86,170,0,43,28,0,24,3588,0,751
2511301,141,Piancó,16039,0.621,0.593,0.736,0.55,3.5,4.4,0.8,4.2,4.88,0.85,121,0,34,17,0,17,1294,0,284
2511400,142,Picuí,18704,0.608,0.596,0.745,0.506,4.1,4.66,0.88,5.6,5.89,0.96,123,0,23,12,0,8,2678,0,491
2511509,143,Pilar,11863,0.579,0.544,0.775,0.461,3.1,4.25,0.73,3.7,4.39,0.84,77,0,18,11,0,12,909,0,227
2511608,144,Pilões,6667,0.56,0.559,0.767,0.409,3.1,4.03,0.76,4.1,4.61,0.88,58,0,16,17,0,16,1027,0,296
